VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ASHRANG,122,67,88,0
BADIKHEL,21,466,299,5
BHARDEV,221,118,88,3
BHATTEDANDA,105,121,201,2
BISANKHUNARAYAN,90,723,230,4
BUKHEL,87,150,96,1
BUNGAMATI,25,1264,12,3
CHANDANPUR,62,125,33,2
CHAPAGAUN,124,2783,703,100
CHHAMPI,287,608,171,5
CHOUGHARE,216,48,114,2
DALCHOKI,0,240,28,1
DEVICHOUR,326,204,46,1
DHAPAKHEL,46,2519,589,24
DHUSEL,207,60,39,2
DUKUCHHAP,147,359,49,0
GIMDI,185,191,85,0
GODAMCHAUR,25,663,397,9
GODAWARI,37,1089,686,13
GOTIKHEL,64,304,31,4
HARISIDDHI,56,2652,22,7
IKUDOL,221,92,73,1
IMADOL,16,5695,1095,92
JHARUWARASI,29,766,135,6
KALESWOR,61,212,18,5
KHOKANA,43,990,23,0
LALITPUR SUB-METROPOLITAN CITY,113,50947,3061,460
LAMATAR,40,1223,469,27
LELE,267,957,585,13
LUBHU,25,1852,480,8
MALTA,223,125,16,6
MANIKHEL,164,215,16,1
NALLU,336,82,38,4
PYUTAR,181,59,142,0
SAINBU,12,4368,577,46
SANKHU,139,184,136,3
SIDDHIPUR,4,1343,77,60
SUNAKOTHI,43,2085,255,14
THAIBA,100,1565,307,10
THECHO,107,1833,394,18
THULADURLUNG,143,78,69,1
TIKATHALI,15,2112,166,131
TOTAL,4735,91537,12139,1094
