VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,109797,468132,238082,230050,4.263613759938796,103.49141490980223
ASHRANG,277,1411,689,722,5.093862815884476,95.42936288088643
BADIKHEL,791,3576,1789,1787,4.52085967130215,100.11191941801903
BHARDEV,430,2210,1034,1176,5.1395348837209305,87.92517006802721
BHATTEDANDA,429,2057,1020,1037,4.794871794871795,98.36065573770492
BISANKHUNARAYAN,1047,4484,2117,2367,4.282712511938873,89.43810730882974
BUKHEL,334,1697,813,884,5.080838323353293,91.9683257918552
BUNGAMATI,1304,5966,2981,2985,4.575153374233129,99.86599664991624
CHANDANPUR,222,1071,531,540,4.824324324324325,98.33333333333333
CHAPAGAUN,3710,16420,8010,8410,4.425876010781671,95.24375743162902
CHHAMPI,1071,4753,2328,2425,4.437908496732026,96
CHOUGHARE,380,1884,895,989,4.957894736842105,90.49544994944388
DALCHOKI,269,1167,537,630,4.338289962825279,85.23809523809524
DEVICHOUR,577,2883,1408,1475,4.996533795493934,95.45762711864407
DHAPAKHEL,3178,12678,6435,6243,3.9893014474512274,103.0754444978376
DHUSEL,308,1510,743,767,4.902597402597403,96.87092568448502
DUKUCHHAP,555,2669,1305,1364,4.809009009009009,95.67448680351906
GIMDI,461,2299,1156,1143,4.9869848156182215,101.13735783027123
GODAMCHAUR,1094,4914,2367,2547,4.491773308957953,92.93286219081273
GODAWARI,1825,7558,3715,3843,4.141369863013699,96.66926880041635
GOTIKHEL,403,1855,887,968,4.602977667493796,91.63223140495867
HARISIDDHI,2737,10736,5378,5358,3.9225429302155645,100.37327360955581
IKUDOL,387,1878,935,943,4.852713178294573,99.15164369034994
IMADOL,6898,27327,13913,13414,3.9615830675558135,103.7199940360817
JHARUWARASI,936,4286,2089,2197,4.579059829059829,95.0842057350933
KALESWOR,296,1404,692,712,4.743243243243243,97.19101123595506
KHOKANA,1056,4927,2452,2475,4.665719696969697,99.07070707070707
LALITPUR SUB-METROPOLITAN CITY,54581,220802,113781,107021,4.045400414063502,106.31651731903085
LAMATAR,1759,8188,4072,4116,4.654917566799318,98.9310009718173
LELE,1822,8411,4032,4379,4.61635565312843,92.07581639643753
LUBHU,2365,10374,5126,5248,4.386469344608879,97.67530487804879
MALTA,370,1838,919,919,4.967567567567568,100
MANIKHEL,396,1947,942,1005,4.916666666666667,93.73134328358209
NALLU,460,2171,1021,1150,4.719565217391304,88.78260869565217
PYUTAR,382,2056,992,1064,5.382198952879581,93.23308270676691
SAINBU,5003,19721,9935,9786,3.941834899060564,101.52258328223994
SANKHU,462,2277,1109,1168,4.928571428571429,94.9486301369863
SIDDHIPUR,1484,6147,2888,3259,4.142183288409703,88.61613992022093
SUNAKOTHI,2397,10092,4962,5130,4.21026282853567,96.72514619883042
THAIBA,1982,8261,4180,4081,4.168012108980827,102.42587601078168
THECHO,2352,10086,4942,5144,4.288265306122449,96.07309486780716
THULADURLUNG,291,1479,718,761,5.082474226804123,94.34954007884363
TIKATHALI,2424,10136,5072,5064,4.181518151815181,100.15797788309638
