VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ASHRANG,275,0,0,0,0,1,1,0
BADIKHEL,678,1,3,0,103,0,1,5
BHARDEV,413,0,0,4,4,5,1,3
BHATTEDANDA,398,0,0,5,1,2,20,3
BISANKHUNARAYAN,892,0,3,1,144,0,2,5
BUKHEL,327,1,0,2,2,1,0,1
BUNGAMATI,901,1,19,54,326,0,1,2
CHANDANPUR,220,0,0,0,0,0,0,2
CHAPAGAUN,3456,4,21,19,98,12,4,96
CHHAMPI,708,1,245,57,32,23,0,5
CHOUGHARE,372,0,1,2,0,3,0,2
DALCHOKI,251,0,1,6,9,1,0,1
DEVICHOUR,563,0,1,9,2,0,1,1
DHAPAKHEL,2708,15,128,88,196,3,17,23
DHUSEL,305,1,0,0,0,0,0,2
DUKUCHHAP,489,2,17,29,18,0,0,0
GIMDI,444,0,1,13,0,2,1,0
GODAMCHAUR,1058,0,2,7,14,3,1,9
GODAWARI,1752,1,16,0,29,0,14,13
GOTIKHEL,372,1,0,0,19,2,5,4
HARISIDDHI,2209,8,208,30,78,112,87,5
IKUDOL,383,0,0,0,0,1,2,1
IMADOL,320,64,2637,259,8,1,3526,83
JHARUWARASI,828,0,40,28,26,1,7,6
KALESWOR,288,0,0,1,0,1,1,5
KHOKANA,1032,0,11,1,1,0,11,0
LALITPUR SUB-METROPOLITAN CITY,33378,801,6045,940,2708,38,10242,429
LAMATAR,1509,1,19,69,129,9,0,23
LELE,1781,1,8,2,1,9,6,14
LUBHU,2013,1,145,111,72,1,13,9
MALTA,359,0,0,4,0,1,0,6
MANIKHEL,386,1,0,2,1,1,4,1
NALLU,450,0,0,5,1,0,0,4
PYUTAR,340,4,0,33,5,0,0,0
SAINBU,3952,4,253,27,323,2,397,45
SANKHU,453,0,1,2,1,2,0,3
SIDDHIPUR,1376,1,28,4,13,0,4,58
SUNAKOTHI,2139,1,63,19,37,0,127,11
THAIBA,1603,1,63,45,229,2,29,10
THECHO,2257,0,26,7,45,0,0,17
THULADURLUNG,262,0,0,8,19,0,1,1
TIKATHALI,1173,134,686,111,24,4,165,127
TOTAL,75073,1050,10691,2004,4718,243,14691,1035
