VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BAGESWARI,1985,29,602,7,207,3,1,6
BANKATAWA,3197,10,298,80,272,3,14,9
BANKATTI,944,5,2,22,0,0,0,4
BASUDEVPUR,1043,8,282,0,8,0,1,7
BAIJAPUR,1879,2,2,0,19,0,0,4
BELAHARI,703,7,7,174,5,0,0,13
BELBHAR,802,13,16,106,3,0,0,4
BETAHANI,1417,26,0,7,0,0,0,6
BHABANIYAPUR,571,1,29,136,1,0,0,0
BINAUNA,1164,11,4,4,18,0,0,3
CHISAPANI,1270,3,32,0,17,0,0,2
GANAPUR,984,15,12,13,0,0,2,4
GANGAPUR,1152,12,0,1,0,0,0,10
HIRMINIYA,1402,31,2,3,0,0,0,4
HOLIYA,1099,7,6,1,1,1,0,0
INDRAPUR,981,28,296,351,5,0,2,14
JAISPUR,894,11,50,2,0,0,1,6
KALAPHANTA,688,7,5,5,1,0,1,2
KAMDI,1773,18,7,30,4,0,0,9
KACHANAPUR,1639,5,14,0,33,0,4,8
KATKUIYA,907,18,0,1,0,0,0,8
KHAJURAKHURDA,875,2,88,108,48,3,4,17
KHASKARKANDO,659,19,1183,61,0,1,4,29
KHASKUSMA,1164,3,7,4,4,0,1,4
KOHALPUR,5220,58,2636,5,199,8,15,32
LAXMANPUR,819,10,0,1,0,0,0,1
MAHADEVPURI,1761,4,30,3,94,0,0,11
MANIKAPUR,1787,31,741,12,17,3,2,4
MATEHIYA,1344,26,0,13,3,0,2,12
NARAINAPUR,841,12,0,0,0,0,0,6
NAUBASTA,3573,3,140,2,305,1,0,9
NEPALGUNJ MUNICIPALITY,4343,209,10382,30,11,6,50,149
PARASPUR,542,8,283,314,0,0,0,15
PHATTEPUR,2803,16,0,7,8,0,0,5
PIPRAHAWA,853,25,113,1,1,0,3,19
PURAINA,1035,27,36,0,2,0,1,21
PURAINI,829,3,47,7,1,2,0,0
RADHAPUR,672,21,28,4,30,0,1,0
RAJHENA,3600,24,1628,77,295,4,20,14
RANIYAPUR,359,3,21,696,38,1,0,10
SAIGAUN,754,6,2,236,9,0,0,12
SAMSERGANJ,1442,24,123,26,23,1,0,9
SITAPUR,1634,3,183,0,172,1,1,9
SONPUR,641,8,38,704,6,0,2,13
TITIHIRIYA,1290,5,43,316,165,2,1,4
UDHARAPUR,1671,22,48,375,18,0,0,15
UDAYAPUR,646,5,7,18,1,1,0,1
TOTAL,67651,844,19473,3963,2044,41,133,544
