VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARKHA,102,257,533,8
BADIKOT,435,552,148,5
BANGESAL,320,301,696,3
BARAULA,124,301,458,0
BARJIWANG,409,103,84,0
BELWAS,883,319,109,7
BHINGRI,534,501,259,7
BIJAYA NAGAR,490,344,102,1
BIJUBAR,367,1173,299,12
BIJULI,398,333,192,0
CHUJA,329,705,198,0
DAKHAKWADI,449,672,310,3
DAMRI,378,183,321,0
DANGWANG,84,245,508,1
DHARAMPANI,15,500,192,3
DHARMAWATI,88,515,512,17
DHOBAGHAT (UDAYAPUR KOT),58,241,302,3
DHUWANG,376,216,115,1
DUNGEGADI,268,247,247,1
GOTHIWANG,456,150,584,0
HANSAPUR,123,170,431,0
JUMRIKANDA,172,519,206,1
KHAIRA,174,567,169,4
KHAWANG,186,542,417,2
KHUNG,17,329,357,3
KOCHIWANG,36,328,287,4
LIGHA,0,221,360,7
LIWANG,411,403,116,3
LUNG,70,522,427,0
MAJHAKOT,143,541,11,2
MARANTHANA,449,772,230,4
MARKAWANG,450,109,45,2
NARIKOT,135,184,387,0
NAYA GAUN,428,259,68,5
OKHARKOT,346,570,286,0
PAKALA,33,534,367,2
PHOPLI,721,374,440,2
PUJA,395,384,306,2
PYTHAN KHALANGA,200,884,449,3
RAJBARA,52,776,15,2
RAMDI,322,185,16,2
RUSPUR KOT,103,562,113,0
SARI,243,506,101,0
SWARGADWARIKHAL,5,544,507,2
SYAULIWANG,274,164,196,2
TIRAM,828,151,131,12
TORWANG,408,383,146,0
TUSARA,347,523,321,2
WANGEMAROT,130,225,649,0
TOTAL,13764,20089,13723,140
