VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BAGESWARI,1172,649,160,240,609,10
BANKATAWA,1661,437,136,305,1325,19
BANKATTI,528,91,1,179,172,6
BASUDEVPUR,512,356,76,133,255,17
BAIJAPUR,518,55,6,1322,1,4
BELAHARI,485,160,1,46,191,26
BELBHAR,707,116,0,16,100,5
BETAHANI,297,138,5,872,137,7
BHABANIYAPUR,309,38,5,58,328,0
BINAUNA,772,26,3,244,156,3
CHISAPANI,457,438,2,420,4,3
GANAPUR,538,59,3,380,46,4
GANGAPUR,261,112,6,775,12,9
HIRMINIYA,1021,72,4,185,150,10
HOLIYA,204,50,59,800,1,1
INDRAPUR,933,292,107,150,123,72
JAISPUR,579,127,6,152,94,6
KALAPHANTA,179,100,5,418,6,1
KAMDI,594,143,2,459,630,13
KACHANAPUR,739,116,6,823,11,8
KATKUIYA,250,199,1,474,1,9
KHAJURAKHURDA,662,129,28,233,78,15
KHASKARKANDO,457,1009,323,87,44,36
KHASKUSMA,218,48,12,900,4,5
KOHALPUR,2415,1458,2243,1057,932,68
LAXMANPUR,403,90,0,337,0,1
MAHADEVPURI,1094,194,18,555,29,13
MANIKAPUR,921,750,243,164,514,5
MATEHIYA,500,207,1,656,19,17
NARAINAPUR,217,66,4,561,0,11
NAUBASTA,1905,446,69,300,1299,14
NEPALGUNJ MUNICIPALITY,5519,6804,2239,229,80,309
PARASPUR,286,447,20,115,280,14
PHATTEPUR,950,230,4,1458,187,10
PIPRAHAWA,596,203,3,4,190,19
PURAINA,682,149,0,203,65,23
PURAINI,442,107,4,196,135,5
RADHAPUR,333,269,4,3,146,1
RAJHENA,2168,1429,1037,190,804,34
RANIYAPUR,182,174,19,279,466,8
SAIGAUN,366,82,2,104,424,41
SAMSERGANJ,882,131,92,337,193,13
SITAPUR,1130,226,6,239,398,4
SONPUR,530,142,14,79,632,15
TITIHIRIYA,529,147,4,153,986,7
UDHARAPUR,611,187,2,585,738,26
UDAYAPUR,364,139,3,139,31,3
TOTAL,37078,19037,6988,17614,13026,950
