VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BAGESWARI,2728,90,1,21
BANKATAWA,3804,49,9,21
BANKATTI,972,0,1,4
BASUDEVPUR,1205,130,2,12
BAIJAPUR,1883,16,3,4
BELAHARI,907,1,0,1
BELBHAR,914,12,0,18
BETAHANI,1455,1,0,0
BHABANIYAPUR,719,17,1,1
BINAUNA,1185,6,1,12
CHISAPANI,1229,92,1,2
GANAPUR,1001,20,5,4
GANGAPUR,1170,3,1,1
HIRMINIYA,1426,12,2,2
HOLIYA,1113,2,0,0
INDRAPUR,1439,173,1,64
JAISPUR,887,66,1,10
KALAPHANTA,709,0,0,0
KAMDI,1813,14,5,9
KACHANAPUR,1641,39,8,15
KATKUIYA,927,2,2,3
KHAJURAKHURDA,1068,20,49,8
KHASKARKANDO,1417,458,70,11
KHASKUSMA,1129,22,7,29
KOHALPUR,6465,1595,69,44
LAXMANPUR,827,4,0,0
MAHADEVPURI,1773,121,4,5
MANIKAPUR,2039,508,16,34
MATEHIYA,1391,4,0,5
NARAINAPUR,858,1,0,0
NAUBASTA,3909,85,4,35
NEPALGUNJ MUNICIPALITY,9343,5350,374,113
PARASPUR,993,161,4,4
PHATTEPUR,2824,7,2,6
PIPRAHAWA,895,106,6,8
PURAINA,1092,30,0,0
PURAINI,845,33,0,11
RADHAPUR,744,7,1,4
RAJHENA,5075,507,58,22
RANIYAPUR,1113,2,1,12
SAIGAUN,1016,2,0,1
SAMSERGANJ,1582,62,2,2
SITAPUR,1927,36,0,40
SONPUR,1389,8,0,15
TITIHIRIYA,1799,15,0,12
UDHARAPUR,2117,20,0,12
UDAYAPUR,673,2,2,2
TOTAL,83430,9911,713,639
