VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BAGESWARI,2620,169,21,5,19,6
BANKATAWA,3222,330,9,12,300,10
BANKATTI,428,538,0,2,5,4
BASUDEVPUR,1049,276,7,2,8,7
BAIJAPUR,10,628,1,802,461,4
BELAHARI,393,493,3,6,1,13
BELBHAR,570,365,1,3,1,4
BETAHANI,423,1004,14,6,3,6
BHABANIYAPUR,489,247,0,0,2,0
BINAUNA,5,214,1,579,402,3
CHISAPANI,1039,233,2,5,43,2
GANAPUR,594,422,2,8,0,4
GANGAPUR,0,812,2,93,258,10
HIRMINIYA,784,651,2,1,0,4
HOLIYA,211,829,1,3,71,0
INDRAPUR,1099,535,4,23,0,16
JAISPUR,822,129,0,1,6,6
KALAPHANTA,6,377,0,127,197,2
KAMDI,1127,665,6,12,22,9
KACHANAPUR,1552,86,3,4,50,8
KATKUIYA,8,874,0,42,2,8
KHAJURAKHURDA,854,260,4,5,5,17
KHASKARKANDO,1723,178,10,3,13,29
KHASKUSMA,6,86,2,706,383,4
KOHALPUR,7021,945,11,17,146,33
LAXMANPUR,2,718,1,88,21,1
MAHADEVPURI,1706,155,4,2,25,11
MANIKAPUR,2021,524,13,20,15,4
MATEHIYA,13,752,8,179,436,12
NARAINAPUR,6,730,4,103,9,7
NAUBASTA,3025,356,3,13,627,9
NEPALGUNJ MUNICIPALITY,14406,542,52,12,21,147
PARASPUR,913,221,1,0,12,15
PHATTEPUR,963,1230,1,205,435,5
PIPRAHAWA,652,335,4,4,1,19
PURAINA,605,494,0,0,2,21
PURAINI,525,352,1,0,11,0
RADHAPUR,683,57,13,1,2,0
RAJHENA,5282,245,29,22,70,14
RANIYAPUR,612,369,1,13,123,10
SAIGAUN,611,378,0,4,14,12
SAMSERGANJ,1314,312,2,6,5,9
SITAPUR,1807,124,6,3,54,9
SONPUR,860,507,1,3,29,12
TITIHIRIYA,1436,248,5,10,123,4
UDHARAPUR,1344,725,2,9,54,15
UDAYAPUR,258,310,0,3,107,1
TOTAL,65099,21030,257,3167,4594,546
