VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ABHIRAO,1717,1587,776,704,919,866,22,17
AJIGARA,1188,1190,727,550,370,462,91,178
BAHADURGANJ,3134,3029,1443,1192,1632,1797,59,40
BALARAMWAPUR,1083,1012,645,580,417,425,21,7
BALUHAWA,1279,1223,667,498,508,581,104,144
BANGANGA,2277,2470,1856,1822,383,572,38,76
BARAIPUR,736,730,344,271,374,441,18,18
BARKULPUR,1918,2135,1412,1424,473,641,33,70
BASANTAPUR,747,766,385,296,348,458,14,12
BASKHORE,2442,2351,1335,1027,1060,1265,47,59
BAIDAULI,1286,1244,679,546,527,638,80,60
BHAGWANPUR,1449,1278,490,384,475,463,484,431
BHALWARI,1083,1030,666,527,379,430,38,73
BIJUWA,1407,1400,633,573,578,610,196,217
BIRPUR,2946,2878,1670,1438,986,957,290,483
BISHUNPUR,1218,1126,715,510,494,611,9,5
BITHUWA,1075,1068,565,472,491,560,19,36
BUDDHI,1099,1216,875,827,213,375,11,14
CHANAI,2695,2701,1527,1278,1132,1324,36,99
DHANKAULI,2240,2171,1295,1046,847,1041,98,84
DHARMPANIYA,1148,1134,682,567,380,396,86,171
DOHANI,1629,1514,974,660,632,841,23,13
DUBIYA,968,1120,776,777,183,337,9,6
DUMARA,1418,1319,918,652,472,634,28,33
FULIKA,1605,1627,1026,819,553,752,26,56
GAJEHADA,2524,2677,1915,1867,556,731,53,79
GANESHPUR,1515,1430,749,559,744,857,22,14
GAURI,1021,1099,517,336,399,622,105,141
GOTIHAWA,1125,1095,622,515,298,377,205,203
GUGAULI,2607,2598,1591,1226,985,1323,31,49
HARNAMPUR,1110,1084,709,516,316,397,85,171
HARDAUNA,1144,1033,598,464,541,564,5,5
HARIHARPUR,1572,1570,1072,873,490,676,10,21
HATHAUSA,1838,1968,1365,1356,417,517,56,95
HATHIHAWA,2139,1858,1092,738,1009,1103,38,17
JAHADI,1420,1523,862,704,551,805,7,14
JAWABHARI,789,791,480,431,305,351,4,9
JAYANAGAR,1533,1647,1220,1139,293,461,20,47
KAJARHAWA,1081,1071,607,504,464,558,10,9
KAPILVASTU MUNICIPALITY,6539,6476,4139,3537,1956,2478,444,461
KHURHURIYA,2080,1980,1098,817,974,1159,8,4
KOPAWA,2079,2303,1606,1688,442,581,31,34
KRISHNANAGAR,2553,2232,1448,1216,1017,880,88,136
KUSHHAWA,1216,1163,632,514,519,533,65,116
LAWANI,1703,1742,858,692,829,1030,16,20
LALPUR,909,915,509,409,390,488,10,18
MAHARAJGANJ,3791,3638,2202,1885,1402,1512,187,241
MAHENDRAKOT,1410,1589,1007,1025,337,477,66,87
MAHUWA,1253,1315,753,661,495,652,5,2
BHALWAD,1124,1302,903,931,200,339,21,32
MANPUR,873,862,550,456,316,396,7,10
BHILMI,1143,1186,674,573,463,598,6,15
MOTIPUR,2598,2788,2029,1931,543,817,26,40
NANDANAGAR,1753,1824,1083,931,627,824,43,69
NIGLIHAWA,2440,2569,1904,1655,437,690,99,224
PAKADI,1710,1853,809,693,811,1032,90,128
PARSOHIYA,1029,968,585,472,436,485,8,11
PATARIYA,1943,2144,1139,946,793,1168,11,30
PATNA,1923,2096,1315,1313,566,706,42,77
PATHARDAIYA,2571,2564,1536,1232,1010,1310,25,22
PIPARA,1385,1416,761,658,514,586,110,172
PURUSHOTTAMPUR,706,697,337,304,358,386,11,7
RAJPUR,1014,1070,635,612,343,411,36,47
RAMNAGAR,1071,976,523,419,535,549,13,8
RANGAPUR,1182,1129,654,488,525,634,3,7
SAURAHA,973,962,400,296,524,616,49,50
SHIVANAGAR,1140,979,502,338,600,611,38,30
SHIVAGADHI,1411,1613,957,909,439,693,15,11
SHIVAPUR,3890,4154,2755,2648,1053,1377,82,129
SIHOKHORE,1306,1284,723,566,579,713,4,5
SIRSIHAWA,1024,926,493,412,401,360,130,154
SISAWA,1578,1506,1008,780,565,716,5,10
SOMDIHA,1477,1378,764,674,580,556,133,148
THUNHIYA,1346,1509,895,834,447,665,4,10
TILAURAKOT,1911,1988,1159,950,684,912,68,126
TITIRKHI,1146,1071,676,511,437,529,33,31
UDAYAPUR,1049,991,590,444,454,545,5,2
VIDHYANAGAR,1312,1241,450,381,814,827,48,33
INSTITUTIONAL,428,60,104,25,320,35,4,0
