VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ABHIRAO,137,67,70,1545,852,693,542,312,230,277,203,74,34,23,11,120,79,41,113,69,44,14,12,2,14,6,8,40,17,23,24,14,10
AJIGARA,28,12,16,1338,783,555,503,319,184,245,165,80,33,26,7,100,70,30,41,35,6,11,11,0,4,4,0,24,16,8,5,2,3
BAHADURGANJ,291,165,126,2193,1223,970,905,589,316,623,454,169,192,133,59,365,260,105,186,141,45,53,39,14,1,1,0,74,46,28,6,4,2
BALARAMWAPUR,221,123,98,1078,609,469,449,297,152,158,121,37,81,63,18,54,43,11,21,19,2,3,3,0,4,2,2,6,6,0,1,1,0
BALUHAWA,35,18,17,1361,810,551,453,324,129,185,134,51,75,55,20,117,92,25,33,25,8,8,8,0,3,3,0,33,23,10,7,5,2
BANGANGA,465,272,193,3048,1599,1449,1936,899,1037,1043,476,567,1626,774,852,613,305,308,187,116,71,87,66,21,3,1,2,337,136,201,119,45,74
BARAIPUR,164,90,74,328,185,143,344,249,95,57,43,14,95,73,22,67,47,20,20,16,4,3,3,0,4,2,2,3,1,2,8,4,4
BARKULPUR,215,116,99,2547,1363,1184,1271,692,579,590,322,268,635,360,275,262,146,116,59,46,13,24,18,6,9,4,5,43,16,27,6,0,6
BASANTAPUR,20,15,5,781,452,329,322,221,101,131,103,28,91,62,29,42,32,10,23,22,1,3,3,0,0,0,0,0,0,0,1,0,1
BASKHORE,146,88,58,2581,1485,1096,767,586,181,325,260,65,100,65,35,75,51,24,28,25,3,0,0,0,19,6,13,44,19,25,21,13,8
BAIDAULI,28,16,12,1226,702,524,511,327,184,289,197,92,86,64,22,103,69,34,34,28,6,21,16,5,4,2,2,1,0,1,4,1,3
BHAGWANPUR,10,5,5,1015,590,425,347,252,95,188,147,41,67,47,20,97,83,14,25,22,3,8,8,0,1,0,1,36,20,16,17,4,13
BHALWARI,179,95,84,1243,741,502,440,291,149,201,146,55,162,108,54,110,90,20,18,14,4,10,8,2,18,9,9,6,4,2,9,4,5
BIJUWA,95,50,45,1546,890,656,408,233,175,237,155,82,47,31,16,99,67,32,40,28,12,12,9,3,3,3,0,38,22,16,16,8,8
BIRPUR,485,256,229,2893,1636,1257,1175,723,452,542,354,188,504,295,209,321,212,109,95,77,18,40,35,5,8,1,7,57,42,15,13,8,5
BISHUNPUR,124,60,64,1221,728,493,394,313,81,117,87,30,114,81,33,46,34,12,18,11,7,8,7,1,1,1,0,8,5,3,2,1,1
BITHUWA,59,32,27,1139,670,469,392,267,125,204,161,43,73,57,16,74,50,24,16,13,3,6,6,0,3,2,1,19,11,8,7,5,2
BUDDHI,192,100,92,1566,833,733,787,458,329,364,186,178,452,244,208,134,68,66,37,24,13,7,6,1,1,1,0,87,45,42,2,0,2
CHANAI,406,218,188,2718,1549,1169,1230,748,482,509,314,195,496,276,220,205,121,84,54,37,17,31,23,8,35,18,17,67,48,19,8,4,4
DHANKAULI,232,126,106,2521,1448,1073,779,530,249,287,221,66,102,73,29,77,63,14,25,23,2,9,7,2,14,9,5,142,83,59,31,18,13
DHARMPANIYA,67,29,38,1328,787,541,504,334,170,278,209,69,61,47,14,85,58,27,33,22,11,8,7,1,4,2,2,1,0,1,4,2,2
DOHANI,68,41,27,1848,1105,743,652,481,171,262,200,62,95,62,33,86,57,29,49,36,13,10,9,1,0,0,0,4,2,2,17,9,8
DUBIYA,260,143,117,1187,629,558,625,353,272,295,157,138,335,164,171,83,51,32,19,12,7,4,4,0,2,1,1,81,41,40,7,4,3
DUMARA,163,95,68,1549,914,635,560,358,202,257,182,75,105,65,40,71,49,22,55,44,11,13,13,0,27,2,25,10,7,3,28,10,18
FULIKA,305,176,129,1756,986,770,620,419,201,324,251,73,142,103,39,81,64,17,44,30,14,3,2,1,8,3,5,0,0,0,8,6,2
GAJEHADA,286,161,125,3166,1677,1489,2042,1049,993,1089,545,544,1433,737,696,590,297,293,220,128,92,63,44,19,3,1,2,636,227,409,37,17,20
GANESHPUR,62,32,30,1258,739,519,546,407,139,257,203,54,109,70,39,89,68,21,24,24,0,10,10,0,2,2,0,7,1,6,11,7,4
GAURI,165,114,51,912,534,378,283,205,78,150,115,35,23,15,8,10,7,3,10,9,1,0,0,0,28,13,15,1,1,0,49,27,22
GOTIHAWA,126,71,55,1220,704,516,574,377,197,251,198,53,90,70,20,63,48,15,9,7,2,3,3,0,1,0,1,13,1,12,15,8,7
GUGAULI,87,55,32,3296,1931,1365,933,631,302,376,266,110,105,76,29,57,46,11,16,10,6,12,11,1,1,1,0,4,2,2,28,13,15
HARNAMPUR,84,46,38,1185,672,513,428,291,137,209,154,55,102,82,20,77,57,20,19,16,3,2,2,0,2,0,2,3,1,2,15,6,9
HARDAUNA,100,51,49,1261,771,490,366,241,125,180,127,53,52,38,14,63,41,22,27,20,7,5,4,1,5,3,2,90,74,16,2,1,1
HARIHARPUR,156,81,75,1773,1026,747,603,408,195,240,171,69,139,80,59,76,56,20,17,13,4,2,2,0,4,2,2,87,59,28,7,3,4
HATHAUSA,306,160,146,2347,1325,1022,1343,719,624,622,325,297,774,398,376,253,147,106,97,72,25,27,23,4,1,0,1,200,96,104,16,10,6
HATHIHAWA,110,56,54,2084,1253,831,652,520,132,299,249,50,72,57,15,118,95,23,54,42,12,5,5,0,9,4,5,9,4,5,6,3,3
JAHADI,239,143,96,1655,903,752,512,341,171,162,120,42,105,67,38,54,37,17,21,13,8,1,0,1,0,0,0,46,33,13,4,1,3
JAWABHARI,46,25,21,965,519,446,307,194,113,79,58,21,141,108,33,67,54,13,6,5,1,5,5,0,1,1,0,10,8,2,2,1,1
JAYANAGAR,164,97,67,1953,1058,895,1116,602,514,556,285,271,736,381,355,280,155,125,65,53,12,19,16,3,4,2,2,158,66,92,1,1,0
