VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AMAHIBARIYATI,1268,121,33,10
AMARDAHA,1799,1024,278,15
AMGACHHI,849,284,44,2
BABIYA BIRTA,2039,737,479,7
BAHUNI,1305,996,502,7
BAIJANATHPUR,926,170,115,9
BANIGAMA,1210,527,379,5
BARADANGA,1922,195,107,6
BAYARBAN,1063,2172,1384,17
BELBARI,898,2379,2414,33
BHAUDAHA,1257,82,55,7
BHOGATENI,344,236,525,8
BIRATNAGAR SUB-METROPOLITAN CITY,4576,32743,7469,343
BUDHANAGAR,2502,66,116,15
DADARBAIRIYA,1337,311,54,0
DAINIYA,2330,370,204,10
DANGIHAT,1716,2090,1184,23
DANGRAHA,947,111,252,3
DRABESH,1801,1005,828,5
DULARI,969,1058,1164,5
GOVINDAPUR,2327,574,468,6
HARAICHA,371,134,972,5
HASANDAHA,900,1097,527,6
HATHIMUDHA,1348,641,213,4
HOKLABARI,542,342,236,1
INDRAPUR,872,2986,2444,41
ITAHARA,711,1214,1643,4
JANTE,187,920,756,2
JHORAHAT,745,251,254,4
JHURKIYA,2315,183,105,2
KASENI,889,482,413,7
KATAHARI,3144,973,770,8
KADMAHA,1019,324,169,5
KERABARI,767,1896,1491,13
KEROUN,1068,1003,846,9
LAKHANTARI,854,77,28,4
LETANG,397,2321,1632,9
MADHUMALLA,1213,2479,1231,4
MAHADEWA,1050,54,25,6
MAJHARE,1937,77,36,2
MATIGACHHA,2434,78,88,3
MOTIPUR,908,157,140,4
MRIGAULIYA,1389,897,977,14
NECHA,351,401,77,3
PATHARI,708,3537,1455,24
PATIGAUN,188,222,68,0
POKHARIYA,474,100,108,0
RAJGHAT,446,1144,1213,0
RAMITE KHOLA,348,27,238,5
RANGELI,1967,1011,184,7
SANISCHARE,739,2595,2339,29
SIDHARAHA,807,82,38,7
SIJUWA,692,1027,839,1
SINHADEVI SOMBARE,225,56,285,0
SISABANIBADAHARA,852,125,212,8
SISAWANIJAHADA,1428,95,62,1
SORABHAG,1667,434,367,6
SUNDARPUR,944,1252,2075,41
TAKUWA,1329,233,204,5
TANDI,588,476,1019,3
TANKISINUWARI,1750,1889,1247,19
TETARIYA,668,519,248,4
THALAHA,1378,209,123,3
URLABARI,510,5745,1901,9
WARANGI,563,17,94,5
YANGSHILA,411,577,461,2
TOTAL,77478,87610,47907,875
