VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AMAHIBARIYATI,227,1198,368,462,119,11,1,11,768,27,111,1116,28,5,7
AMARDAHA,406,2706,1091,1656,36,26,7,84,1875,73,217,2335,11,44,4
AMGACHHI,205,965,147,524,45,6,1,19,522,20,75,868,1,2,9
BABIYA BIRTA,561,2673,1189,1368,175,20,9,61,1747,6,189,2298,19,18,28
BAHUNI,300,2503,1041,1606,176,48,3,58,1714,23,224,2095,7,31,7
BAIJANATHPUR,143,1041,248,501,137,15,3,7,712,3,90,910,19,11,36
BANIGAMA,102,2009,691,1234,173,46,5,41,1341,15,251,1799,20,23,10
BARADANGA,396,1818,361,655,23,21,2,29,1023,3,141,1681,6,3,16
BAYARBAN,443,4173,2056,2467,390,103,42,85,3531,26,286,3389,12,229,20
BELBARI,353,5307,2783,3693,740,411,133,438,4517,167,566,3950,35,617,64
BHAUDAHA,93,1295,443,568,82,11,1,2,676,8,52,1242,19,6,13
BHOGATENI,224,872,600,131,33,7,2,12,667,1,21,82,0,6,17
BIRATNAGAR SUB-METROPOLITAN CITY,2231,42494,21012,13352,21728,8433,4243,9883,35324,1179,10355,29618,498,10935,406
BUDHANAGAR,336,2348,569,806,7,11,0,7,1126,12,192,2203,5,0,15
DADARBAIRIYA,168,1527,468,794,71,8,0,6,833,10,68,1430,7,2,7
DAINIYA,526,2365,328,881,58,28,0,6,1630,41,234,2167,17,7,23
DANGIHAT,351,4624,2062,3166,645,158,28,112,3665,74,409,3854,27,316,38
DANGRAHA,98,1209,489,716,58,19,3,13,835,0,96,1098,17,6,6
DRABESH,583,3049,1567,1807,118,39,22,179,2177,21,271,2540,14,45,7
DULARI,224,2961,1213,2125,285,155,29,191,2430,41,332,1976,88,276,11
GOVINDAPUR,504,2860,927,1396,30,27,6,35,1920,18,200,2643,10,9,11
HARAICHA,91,1384,713,1015,80,44,8,21,1175,1,163,1219,18,45,7
HASANDAHA,284,2242,972,1321,32,38,6,32,1796,20,142,1883,11,20,4
HATHIMUDHA,191,2007,800,1117,374,50,29,25,1226,19,140,1701,27,45,8
HOKLABARI,148,970,445,551,22,13,4,11,712,3,76,724,5,16,3
INDRAPUR,296,5976,2928,4419,816,578,152,717,5184,75,821,4460,59,718,71
ITAHARA,269,3277,1507,2235,92,100,23,121,2804,25,262,2635,24,122,26
JANTE,198,1661,1033,573,292,75,7,95,1406,9,123,824,3,41,6
JHORAHAT,92,1159,486,604,166,43,27,23,757,4,145,998,13,51,3
JHURKIYA,415,2095,542,849,22,17,3,27,991,17,164,1960,21,8,95
KASENI,137,1642,743,1014,36,36,5,86,1309,7,156,1423,12,44,12
KATAHARI,516,4331,1952,2193,638,109,55,118,2877,11,479,3765,63,83,48
KADMAHA,116,1362,359,542,60,22,2,10,424,16,108,1276,12,4,39
KERABARI,504,3653,2330,1905,522,117,21,130,3062,40,259,1534,8,173,10
