VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AMAHIBARIYATI,8,1400,3,9,1,1,0,10
AMARDAHA,4,3027,3,6,1,0,62,13
AMGACHHI,3,1170,2,2,0,0,0,2
BABIYA BIRTA,11,3219,2,8,2,0,13,7
BAHUNI,42,2695,9,0,2,1,54,7
BAIJANATHPUR,33,1175,1,1,2,0,0,8
BANIGAMA,44,2049,5,16,1,0,1,5
BARADANGA,10,2103,1,11,2,0,97,6
BAYARBAN,25,4481,18,72,9,11,3,17
BELBARI,137,5480,17,10,23,3,22,32
BHAUDAHA,3,1388,1,4,1,0,0,4
BHOGATENI,733,2,2,210,150,8,0,8
BIRATNAGAR SUB-METROPOLITAN CITY,16625,27694,105,32,200,8,146,321
BUDHANAGAR,7,2661,3,9,1,0,4,14
DADARBAIRIYA,6,1680,0,6,0,0,10,0
DAINIYA,15,2838,3,8,0,0,41,9
DANGIHAT,37,4823,13,14,4,2,97,23
DANGRAHA,17,1120,4,12,0,1,156,3
DRABESH,78,3422,6,5,1,1,119,7
DULARI,45,3100,10,0,3,0,33,5
GOVINDAPUR,11,3273,9,18,4,0,55,5
HARAICHA,273,1138,1,0,1,0,64,5
HASANDAHA,22,2401,1,9,0,0,91,6
HATHIMUDHA,62,2122,5,9,1,0,3,4
HOKLABARI,13,1096,3,5,2,0,1,1
INDRAPUR,512,5651,29,7,11,3,90,40
ITAHARA,14,3518,1,0,1,2,32,4
JANTE,1788,1,4,21,6,6,37,2
JHORAHAT,214,1031,1,3,0,0,0,5
JHURKIYA,3,2581,1,13,3,0,2,2
KASENI,9,1753,2,2,2,0,17,6
KATAHARI,14,4847,9,2,0,0,16,7
KADMAHA,8,1492,0,11,1,0,0,5
KERABARI,3927,167,3,21,25,1,10,13
KEROUN,25,2872,11,4,1,2,2,9
LAKHANTARI,6,946,1,6,0,0,0,4
LETANG,4296,10,11,26,8,1,1,6
MADHUMALLA,278,3782,45,152,270,387,9,4
MAHADEWA,11,1107,2,7,1,0,0,7
MAJHARE,8,2009,5,21,3,0,4,2
MATIGACHHA,4,2588,2,5,0,0,1,3
MOTIPUR,8,1188,2,4,3,0,0,4
MRIGAULIYA,908,2333,5,15,1,1,1,13
NECHA,2,819,1,7,0,0,0,3
PATHARI,1205,4187,48,102,10,1,145,26
PATIGAUN,449,0,0,15,6,8,0,0
POKHARIYA,4,651,0,27,0,0,0,0
RAJGHAT,27,2745,4,1,1,1,24,0
RAMITE KHOLA,515,1,8,58,28,0,3,5
RANGELI,396,2727,9,20,3,1,6,7
SANISCHARE,82,5219,127,177,12,2,55,28
SIDHARAHA,2,920,3,3,0,0,0,6
SIJUWA,23,2521,3,3,4,2,2,1
SINHADEVI SOMBARE,487,2,19,35,20,2,1,0
SISABANIBADAHARA,9,1177,2,2,0,0,0,7
SISAWANIJAHADA,42,1528,3,4,5,1,2,1
SORABHAG,10,2403,2,15,0,0,38,6
SUNDARPUR,48,4112,14,16,17,6,57,42
TAKUWA,6,1728,2,7,1,0,22,5
TANDI,1880,2,24,155,16,6,0,3
TANKISINUWARI,1281,3511,7,7,20,13,47,19
TETARIYA,12,1410,3,8,2,0,0,4
THALAHA,5,1689,2,11,1,0,0,5
URLABARI,1986,6037,36,14,6,13,65,8
WARANGI,595,1,3,51,18,6,0,5
YANGSHILA,1105,0,66,68,174,35,1,2
TOTAL,40468,166823,747,1602,1091,536,1762,841
