VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AMAHIBARIYATI,226,1155,16,19,0,0,1,15
AMARDAHA,1096,1918,18,39,10,0,3,32
AMGACHHI,189,952,6,16,2,0,8,6
BABIYA BIRTA,1847,1331,6,40,21,0,2,15
BAHUNI,1416,1336,5,39,3,0,1,10
BAIJANATHPUR,536,591,9,59,7,0,2,16
BANIGAMA,816,1222,18,52,5,0,5,3
BARADANGA,580,1606,0,22,4,0,1,17
BAYARBAN,1370,3047,26,151,12,0,4,26
BELBARI,962,3588,49,1062,17,0,4,42
BHAUDAHA,798,578,2,14,1,0,1,7
BHOGATENI,400,680,3,0,9,0,2,19
BIRATNAGAR SUB-METROPOLITAN CITY,2000,14086,4815,23309,109,0,72,740
BUDHANAGAR,631,1825,125,62,10,0,10,36
DADARBAIRIYA,502,1177,16,3,1,0,1,2
DAINIYA,487,2307,26,61,2,0,1,30
DANGIHAT,1453,3036,25,434,15,0,7,43
DANGRAHA,625,650,4,17,1,0,10,6
DRABESH,1636,1893,30,49,12,0,1,18
DULARI,473,2094,14,601,6,0,1,7
GOVINDAPUR,1277,2029,8,32,4,0,5,20
HARAICHA,476,875,48,75,0,0,2,6
HASANDAHA,884,1609,3,17,6,0,1,10
HATHIMUDHA,770,1186,7,228,2,0,1,12
HOKLABARI,654,441,9,9,3,0,1,4
INDRAPUR,402,3675,15,2149,16,0,13,73
ITAHARA,889,2529,12,99,18,0,7,18
JANTE,251,1558,12,24,12,0,6,2
JHORAHAT,638,531,5,71,1,0,2,6
JHURKIYA,497,2049,5,35,5,0,2,12
KASENI,940,810,3,15,3,0,3,17
KATAHARI,890,3330,239,407,8,0,6,15
KADMAHA,304,1163,9,27,8,0,0,6
KERABARI,632,3301,37,149,17,0,11,20
KEROUN,1219,1625,10,53,3,0,3,13
LAKHANTARI,549,388,5,11,1,0,1,8
LETANG,493,3349,18,451,12,0,8,28
MADHUMALLA,631,4058,26,165,21,0,10,16
MAHADEWA,354,763,1,5,0,0,1,11
MAJHARE,413,1573,6,40,5,0,10,5
MATIGACHHA,998,1501,37,33,9,0,6,19
MOTIPUR,651,538,3,10,3,0,0,4
MRIGAULIYA,729,2099,6,412,4,0,2,25
NECHA,59,758,0,5,0,0,3,7
PATHARI,510,3865,18,1200,20,0,28,83
PATIGAUN,197,277,1,2,0,0,0,1
POKHARIYA,53,607,6,11,2,0,2,1
RAJGHAT,461,2189,11,114,3,0,6,19
RAMITE KHOLA,228,374,5,4,1,0,1,5
RANGELI,348,2546,59,182,8,0,17,9
SANISCHARE,1268,4131,8,225,18,0,18,34
SIDHARAHA,513,403,3,5,2,0,1,7
SIJUWA,593,1854,11,87,6,0,1,7
SINHADEVI SOMBARE,379,182,2,1,2,0,0,0
SISABANIBADAHARA,521,647,12,7,0,0,0,10
SISAWANIJAHADA,338,1155,8,76,7,0,0,2
SORABHAG,753,1618,14,75,3,0,2,9
SUNDARPUR,681,2946,22,575,8,0,3,77
TAKUWA,477,1263,9,10,2,0,3,7
TANDI,375,1679,1,6,16,0,2,7
TANKISINUWARI,815,2526,46,1429,2,0,7,80
TETARIYA,660,721,8,44,0,0,0,6
THALAHA,1019,679,4,0,1,0,7,3
URLABARI,520,5248,66,2207,46,0,20,58
WARANGI,318,342,0,1,2,0,1,15
YANGSHILA,332,1097,0,2,12,0,4,4
TOTAL,45002,123159,6051,36834,569,0,364,1891
