VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AINSELUKHARKA,619,29,1,3
ARKHAULE,639,20,1,2
BADAHARE,315,3,0,0
BADAKA DIYALE,490,11,0,7
BAHUNIDANDA,499,24,0,1
BAKACHOL,591,11,3,18
BAKSILA,704,16,1,16
BAMRANG,592,34,0,22
BARAHAPOKHARI,704,6,1,5
BASPANI,337,1,0,17
BATASE,776,3,1,17
BIJAYA KHARKA,513,3,0,4
BUIPA,925,34,0,25
CHHITAPOKHARI,377,0,0,4
CHHORAMBU,479,0,0,0
CHIPRING,233,2,0,4
CHISAPANI,863,42,0,6
CHYANDADA,573,16,0,0
CHYASMITAR,537,11,0,0
DAMARKHUSHIVALAYA,534,8,0,14
DANDAGAUN,505,24,1,7
DEVISTHAN,399,13,0,4
DHITUNG,524,5,0,6
DIKTEL,1456,443,38,30
DIKUWA,445,3,0,0
DIPLUNG,420,2,0,2
DORPACHIURIDADA,1116,17,0,16
DUBEKOLDADA,317,8,1,19
DUMRE DHARAPANI,526,8,4,5
DURCHHIM,704,2,2,6
FAKTANG,404,14,1,9
HAUNCHUR,478,6,0,8
INDRANIPOKHARI,588,9,0,6
JALAPA,553,18,1,1
JYAMIRE,261,8,0,11
KAHULE,355,7,0,0
KHALLE,627,11,2,8
KHARMI,741,5,0,5
KHARPA,359,51,5,15
KHARTANCHHA,410,1,2,26
KHIDIMA,400,11,0,0
KHOTANGBAZAR,407,29,1,15
KUVINDE,388,5,1,26
LAFYANG,578,5,0,12
LAMIDADA,537,24,1,1
LICHKIRAMCHE,702,1,0,0
LINKUWAPOKHARI,442,12,0,7
MAGPA,425,10,0,1
MAHADEVASTHAN,550,23,5,5
MANGALTAR,433,6,0,1
MATTIM BIRTA,811,32,1,13
MAUWABOTE,271,1,0,4
NERPA,621,15,0,10
NIRMALIDADA,384,9,0,0
NUNTHALA,344,22,1,13
PATHEKA,775,8,0,13
PAUWASERA,397,1,0,0
PHEDI,642,20,0,18
R.MAHESWORI,473,2,1,8
RAJAPANI,698,6,1,2
RAKHA BANGDEL,531,5,0,12
RAKHA DIPSUNG,166,1,0,12
RATANCHHA,526,3,3,19
JALESWORI,445,10,4,9
SA.CHHITAPOKHARI,548,11,0,5
SALLE,329,27,0,3
SAPTESWOR,437,3,0,7
SAUNECHAUR,458,0,0,0
SAWAKATAHARE,549,6,0,25
SIMPANI,637,25,0,4
SUNGDEL,498,9,0,3
SUNTALE,424,2,0,0
TEMMA,745,6,1,25
WOPLUKHA,487,2,1,1
WOPUNG,483,17,0,6
YAMKHA,592,5,0,8
TOTAL,40621,1303,86,637
