VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAMTI BHANDAR,40,327,364,8
BETALI,257,412,277,6
BETHAN,455,547,85,3
GAGAL BHADAURE,181,314,17,62
BHATAULI,431,223,148,18
BHIRPANI,308,279,173,4
BHUJEE,166,344,27,1
BIJULIKOT,271,433,368,15
CHANAKHU,180,145,148,3
CHISAPANI,157,410,109,10
CHUCHURE,107,370,103,5
DADHUWA,532,197,269,18
DEURALI,390,230,79,3
DIMIPOKHARI,375,225,121,5
DORAMBA,405,328,47,14
DURAGAUN,50,351,232,19
FARPU,293,147,9,1
GELU,272,425,554,16
GOSWARA,634,97,37,2
GOTHGAUN,111,322,132,1
GUMDEL,206,95,195,1
GUNSI BHADAURE,467,260,316,13
GUPTESHWOR,218,104,39,0
HILEDEVI,461,193,51,2
HIMGANGA,357,276,213,3
KATHJOR,277,80,559,18
KHANDADEVI,535,220,77,6
KHANIYAPANI,285,316,188,5
KHIMTI,233,630,97,8
KUBUKASTHALI,49,306,242,9
LAKHANPUR,564,348,405,6
MAJUWA,249,132,58,14
MAKADUM,174,234,14,0
BHALUWAJOR,353,102,252,8
MANTHALI,52,1312,640,14
NAGDAHA,473,254,43,7
NAMADI,236,490,94,7
OKHRENI,159,160,419,4
PAKARBAS,538,481,148,10
PHULASI,433,623,222,6
PINKHURI,167,163,97,1
PRITEE,386,399,337,6
PURANAGAUN,297,218,117,3
RAKATHUM,261,265,181,9
RAMECHHAP,302,354,494,3
RAMPUR,514,299,45,0
RASANALU,353,394,265,14
SAIPU,159,381,76,0
SALU,275,225,261,3
SANGHUTAR,79,382,35,4
SUKAJOR,225,243,284,4
SUNARPANI,112,246,141,1
THOSE,224,346,36,0
TILPUNG,250,405,167,6
TOKARPUR,509,187,59,12
TOTAL,16047,17249,10166,421
