VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ARESH,548,3,0,152,1,12
BHABANG,791,0,0,2,0,6
MIRUL,491,0,0,1,0,2
BUDAGAUN,1218,24,0,2,0,6
DHAWANG,887,0,0,0,0,7
DUBRING,843,61,1,24,0,2
DUBIDANDA,853,12,2,4,9,3
ERIWANG,995,1,0,4,0,3
FAGAAM,549,0,0,8,0,5
GAAM,778,1,0,5,2,1
GAIRIGAUN,928,4,0,2,0,4
GAJUL,1030,1,0,8,1,4
GHARTI GAUN,908,1,0,10,0,2
GHODAGAUN,619,2,0,33,25,6
GUMCHAL,619,1,0,28,0,2
HARJANG,384,0,0,33,2,5
JAILWANG,504,1,0,1,0,4
JAIMAKASALA,572,1,0,5,0,2
JANGKOT,587,5,1,1,0,5
JAULIPOKHARI,926,0,0,0,0,7
JEDWANG,735,0,0,1,0,1
JHENAM,1057,1,0,1,0,3
JINABANG,973,4,0,0,0,2
JUNGAR,1005,0,5,6,0,3
KARETI,443,2,0,1,0,7
KHUMEL,629,3,3,10,0,3
KHUNGRI,862,1,7,35,2,3
KORCHABANG,741,1,0,0,0,5
KOTGAUN,890,3,0,2,0,0
KURELI,584,0,0,2,0,1
LIWANG,2017,298,210,26,2,54
MASINA,962,6,0,18,0,5
MIJHING,1232,170,125,28,0,6
NUWAGAUN,873,0,0,1,1,5
PACHHABANG,806,1,0,0,0,16
PAKHAPANI,1006,0,0,0,0,6
PANG,782,0,0,76,0,9
RANGKOT,653,0,0,0,0,0
RANGSI,950,0,0,0,0,2
RANK,1007,1,0,1,0,4
SAKHI,611,2,0,1,0,1
SERAM,348,0,0,25,0,1
SIRPA,1287,11,0,90,0,5
SIURI,303,0,0,13,0,3
TALABANG,1042,0,0,2,0,4
TEWANG,623,0,0,0,0,2
THABANG,931,4,0,0,0,2
UWA,732,0,0,0,0,9
BADACHAUR,1012,0,1,51,0,4
HWAMA,775,0,0,1,0,8
WOT,832,0,0,0,0,0
TOTAL,41733,626,355,714,45,262
