VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ARESH,473,0,0,18,208,9,0,8
BHABANG,694,0,0,25,9,61,4,6
MIRUL,376,0,0,31,42,42,0,3
BUDAGAUN,929,1,8,174,108,24,1,5
DHAWANG,616,3,21,210,24,15,0,5
DUBRING,532,0,0,87,178,81,51,2
DUBIDANDA,620,1,2,51,204,2,2,1
ERIWANG,654,0,2,193,106,45,1,2
FAGAAM,398,0,0,60,57,44,0,3
GAAM,693,0,6,24,37,27,0,0
GAIRIGAUN,802,0,2,114,16,2,0,2
GAJUL,808,0,3,15,103,66,49,0
GHARTI GAUN,791,0,0,10,63,55,0,2
GHODAGAUN,565,0,0,0,93,15,10,2
GUMCHAL,547,0,0,17,84,0,0,2
HARJANG,245,0,1,8,160,6,0,4
JAILWANG,464,0,0,5,32,7,0,2
JAIMAKASALA,504,4,0,50,14,4,2,2
JANGKOT,528,0,0,1,19,49,0,2
JAULIPOKHARI,560,0,0,249,102,19,1,2
JEDWANG,569,0,0,88,75,4,0,1
JHENAM,888,0,7,94,36,33,1,3
JINABANG,766,0,6,140,20,45,0,2
JUNGAR,840,0,0,10,121,36,10,2
KARETI,270,0,0,4,124,51,0,4
KHUMEL,537,1,3,60,29,17,0,1
KHUNGRI,847,1,0,1,43,14,1,3
KORCHABANG,639,0,0,36,16,53,0,3
KOTGAUN,835,1,24,13,6,16,0,0
KURELI,536,3,1,12,18,16,1,0
LIWANG,2475,0,5,17,54,22,1,33
MASINA,492,1,0,226,195,70,2,5
MIJHING,1255,0,7,5,232,58,0,4
NUWAGAUN,728,3,8,16,68,36,16,5
PACHHABANG,602,0,0,125,55,33,0,8
PAKHAPANI,525,0,0,120,136,227,1,3
PANG,720,0,0,11,127,4,1,4
RANGKOT,562,0,1,62,23,5,0,0
RANGSI,721,0,30,153,10,33,3,2
RANK,581,0,23,373,15,11,2,8
SAKHI,368,0,1,59,168,18,1,0
SERAM,354,1,0,17,0,1,0,1
SIRPA,704,0,51,66,547,22,0,3
SIURI,310,0,0,0,3,3,0,3
TALABANG,520,0,1,519,0,2,0,6
TEWANG,544,0,0,35,35,9,0,2
THABANG,714,0,1,31,78,109,2,2
UWA,622,0,10,19,55,28,1,6
BADACHAUR,945,1,5,47,49,18,0,3
HWAMA,564,1,5,102,28,76,1,7
WOT,811,0,0,7,11,3,0,0
TOTAL,33643,22,234,3810,4036,1646,165,179
