VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARESH,701,12,0,3
BHABANG,786,6,2,5
MIRUL,475,19,0,0
BUDAGAUN,1208,37,1,4
DHAWANG,889,3,0,2
DUBRING,877,46,3,5
DUBIDANDA,834,42,0,7
ERIWANG,940,46,2,15
FAGAAM,556,5,0,1
GAAM,776,7,3,1
GAIRIGAUN,888,40,0,10
GAJUL,1034,8,0,2
GHARTI GAUN,878,41,0,2
GHODAGAUN,675,4,2,4
GUMCHAL,640,7,1,2
HARJANG,412,3,2,7
JAILWANG,501,6,3,0
JAIMAKASALA,549,30,1,0
JANGKOT,570,21,1,7
JAULIPOKHARI,920,13,0,0
JEDWANG,723,14,0,0
JHENAM,1036,20,0,6
JINABANG,956,16,3,4
JUNGAR,962,52,1,4
KARETI,444,5,1,3
KHUMEL,628,13,0,7
KHUNGRI,877,27,1,5
KORCHABANG,710,36,0,1
KOTGAUN,833,37,0,25
KURELI,563,12,1,11
LIWANG,1534,994,65,14
MASINA,951,37,0,3
MIJHING,1269,280,10,2
NUWAGAUN,832,34,1,13
PACHHABANG,818,3,0,2
PAKHAPANI,1009,1,1,1
PANG,852,11,2,2
RANGKOT,647,2,0,4
RANGSI,925,22,4,1
RANK,993,11,0,9
SAKHI,593,20,0,2
SERAM,356,18,0,0
SIRPA,1377,15,0,1
SIURI,318,1,0,0
TALABANG,996,48,2,2
TEWANG,621,4,0,0
THABANG,893,25,3,16
UWA,725,7,1,8
BADACHAUR,1053,13,1,1
HWAMA,755,28,0,1
WOT,830,2,0,0
TOTAL,41188,2204,118,225
