VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AMCHAUR,957,1218,756,700,192,498,9,20
BASANTAPUR,497,635,421,438,66,184,10,13
BASULING,702,795,573,582,125,207,4,6
BHATANA,921,971,686,612,224,353,11,6
BHUMESWOR,685,828,582,603,102,211,1,14
BIJAYAPUR,852,1035,650,617,202,416,0,2
BISALPUR,938,1036,672,630,233,380,33,26
BUMIRAJ,1023,1166,737,632,274,521,12,13
CHAUKHAM,612,662,449,399,161,255,2,8
DASHARATHCHANDA MUNICIPALITY,2952,3436,2506,2548,394,818,52,70
DEHIMANDAU,875,987,707,660,156,319,12,8
DEULEK,469,619,411,448,58,170,0,1
DHIKARIM/RIM,873,965,635,582,206,328,32,55
DHIKASINTAD/SITAD,888,1097,746,782,141,311,1,4
DHUNGAD,479,569,384,360,94,206,1,3
DILASAINI,1190,1239,982,872,204,363,4,4
DURGA BHABANI,454,612,373,414,77,186,4,12
DURGASTHAN,802,985,680,704,119,274,3,7
GAJARI,933,1052,728,693,187,345,18,14
GIREGADA,621,776,489,442,124,329,8,5
GOKULESWOR,710,977,629,712,75,258,6,7
GUJAR,527,664,450,491,73,167,4,6
GURUKHOLA,912,1084,770,766,136,303,6,15
GWALLEK,748,963,635,690,101,252,12,21
HAT,474,559,375,378,99,173,0,8
HATAIRAJ,190,254,159,188,28,59,3,7
KAILPAL,576,740,489,536,86,201,1,3
KATAUJPANI,982,1057,806,708,168,345,8,4
KOTILA,773,910,578,610,193,295,2,5
KOTPETARA,1433,1557,1056,983,367,569,10,5
KULAU,619,725,499,501,118,219,2,5
KUWAKOT,1295,1328,887,767,398,553,10,8
MAHADEVSTHAN,818,866,622,608,189,250,7,8
MAHAKALI,740,922,564,520,172,394,4,8
MAHARUDRA,864,1038,689,687,141,261,34,90
MALLADEHI,869,961,685,623,181,335,3,3
MATHAIRAJ,615,704,515,531,99,171,1,2
MAUNALI,669,740,502,478,165,256,2,6
MELAULI,998,1106,826,785,165,317,7,4
NAGARJUN,398,489,351,370,39,109,8,10
NWADEU,1002,1084,760,676,228,403,14,5
NWALI,496,706,384,446,108,260,4,0
PANCHESWOR,882,1028,720,694,159,331,3,3
PATAN,963,1126,791,769,166,352,6,5
RAUDIDEWAL,666,903,608,618,54,277,4,8
RAULESWOR,790,990,656,638,121,309,13,43
RUDRESWOR,773,923,631,657,136,258,6,8
SAKAR,682,856,543,561,93,220,46,75
SALENA,708,862,543,575,154,276,11,11
SARMALI,1674,1968,1295,1081,356,809,23,78
SHANKARPUR,402,504,345,376,51,124,6,4
SHIBANATH,1226,1453,955,902,268,547,3,4
SHIKHARPUR,1242,1505,959,978,263,472,20,55
SHIVALING,898,958,650,595,242,356,6,7
SIDDHAPUR,473,582,401,459,67,113,5,10
SIDDHESWOR,1087,1170,859,824,205,319,23,27
SIGASH,926,940,657,532,263,402,6,6
SILANGA,511,612,418,456,86,141,7,15
SREE KEDAR,309,443,258,305,36,120,15,18
SREEKOT,653,794,542,553,108,233,3,8
TALLADEHI,639,751,492,479,140,265,7,7
THALAKANDA,630,694,524,463,106,230,0,1
UDAYADEB,999,1214,786,732,199,462,14,20
INSTITUTIONAL,73,4,7,4,66,0,0,0
