VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARKHA,322,186,136,1582,912,670,300,193,107,96,74,22,50,39,11,13,10,3,6,5,1,2,2,0,4,4,0,298,97,201,0,0,0
BADIKOT,173,98,75,1668,813,855,714,339,375,264,119,145,208,98,110,73,36,37,18,12,6,2,2,0,6,3,3,164,80,84,13,4,9
BANGESAL,328,180,148,2122,1087,1035,756,373,383,229,129,100,216,121,95,132,73,59,23,19,4,5,5,0,6,2,4,367,78,289,0,0,0
BARAULA,151,59,92,1481,705,776,455,215,240,161,86,75,147,65,82,51,29,22,20,16,4,6,6,0,2,1,1,194,79,115,15,6,9
BARJIWANG,124,68,56,777,357,420,277,127,150,79,39,40,69,41,28,31,23,8,8,7,1,3,3,0,7,3,4,71,26,45,5,2,3
BELWAS,196,107,89,1881,859,1022,601,254,347,192,103,89,150,86,64,55,36,19,23,18,5,8,8,0,3,1,2,242,64,178,35,14,21
BHINGRI,185,102,83,1707,811,896,678,292,386,235,112,123,191,97,94,142,78,64,43,34,9,15,12,3,1,0,1,353,118,235,7,5,2
BIJAYA NAGAR,190,101,89,1170,580,590,463,221,242,208,104,104,243,120,123,97,54,43,21,18,3,6,5,1,3,1,2,274,77,197,3,1,2
BIJUBAR,268,146,122,2105,999,1106,881,444,437,511,284,227,683,361,322,431,226,205,152,113,39,42,35,7,4,2,2,115,25,90,13,6,7
BIJULI,199,112,87,1226,566,660,552,221,331,223,116,107,221,93,128,45,29,16,8,7,1,2,2,0,3,3,0,197,85,112,1,1,0
CHUJA,215,112,103,2043,994,1049,665,273,392,233,112,121,195,117,78,74,43,31,19,19,0,8,5,3,0,0,0,183,66,117,3,0,3
DAKHAKWADI,208,111,97,1847,867,980,846,368,478,413,217,196,337,168,169,160,82,78,39,29,10,9,8,1,2,0,2,164,66,98,2,1,1
DAMRI,158,74,84,1229,716,513,188,120,68,46,27,19,27,20,7,20,14,6,1,1,0,1,1,0,0,0,0,157,59,98,2,1,1
DANGWANG,318,169,149,1626,872,754,463,208,255,153,82,71,123,66,57,21,12,9,10,8,2,1,1,0,0,0,0,110,36,74,4,3,1
DHARAMPANI,97,53,44,1000,455,545,398,182,216,168,68,100,153,68,85,62,36,26,16,12,4,9,8,1,0,0,0,55,23,32,11,4,7
DHARMAWATI,206,127,79,1430,667,763,723,378,345,347,193,154,317,158,159,183,101,82,34,25,9,28,22,6,0,0,0,191,71,120,23,11,12
DHOBAGHAT (UDAYAPUR KOT),151,71,80,989,496,493,212,113,99,62,32,30,36,24,12,5,4,1,8,5,3,0,0,0,0,0,0,178,73,105,4,2,2
DHUWANG,190,87,103,1313,689,624,470,219,251,118,81,37,93,38,55,26,13,13,7,7,0,0,0,0,1,1,0,158,42,116,7,3,4
DUNGEGADI,161,85,76,1457,732,725,427,226,201,153,87,66,53,29,24,43,26,17,15,12,3,1,0,1,0,0,0,434,117,317,3,2,1
GOTHIWANG,288,146,142,1796,824,972,551,248,303,171,93,78,90,51,39,53,33,20,14,13,1,3,1,2,0,0,0,277,92,185,10,5,5
HANSAPUR,139,80,59,1451,751,700,443,211,232,99,59,40,87,54,33,30,19,11,8,6,2,1,1,0,3,3,0,200,67,133,7,3,4
JUMRIKANDA,147,76,71,1251,644,607,266,154,112,69,39,30,49,34,15,15,12,3,5,3,2,0,0,0,2,2,0,101,31,70,6,2,4
KHAIRA,148,74,74,1354,592,762,620,291,329,242,127,115,194,107,87,106,50,56,31,23,8,9,8,1,5,2,3,185,36,149,12,5,7
KHAWANG,463,230,233,1626,888,738,409,231,178,103,69,34,136,92,44,36,26,10,6,5,1,0,0,0,2,1,1,290,118,172,7,4,3
KHUNG,192,108,84,1004,514,490,427,209,218,169,82,87,171,97,74,51,27,24,13,12,1,3,3,0,1,0,1,182,58,124,1,0,1
KOCHIWANG,238,117,121,1019,493,526,183,103,80,70,54,16,20,16,4,19,14,5,5,5,0,0,0,0,1,0,1,238,101,137,2,0,2
LIGHA,101,47,54,857,529,328,125,96,29,41,23,18,19,13,6,10,7,3,7,6,1,0,0,0,0,0,0,228,121,107,0,0,0
LIWANG,307,159,148,1598,860,738,460,258,202,152,91,61,107,59,48,30,15,15,8,7,1,0,0,0,1,1,0,302,77,225,9,5,4
LUNG,214,120,94,1445,679,766,590,307,283,237,126,111,222,117,105,104,60,44,32,28,4,7,5,2,1,0,1,181,58,123,12,6,6
MAJHAKOT,164,89,75,1067,532,535,353,189,164,147,84,63,99,55,44,31,18,13,10,10,0,1,1,0,0,0,0,49,16,33,0,0,0
MARANTHANA,321,185,136,1818,890,928,847,381,466,325,162,163,260,130,130,146,76,70,32,17,15,9,6,3,3,2,1,206,70,136,21,10,11
MARKAWANG,153,83,70,1013,517,496,333,164,169,84,56,28,57,35,22,17,7,10,5,5,0,0,0,0,1,0,1,158,48,110,11,3,8
NARIKOT,126,69,57,1127,541,586,380,154,226,102,46,56,43,24,19,58,29,29,8,7,1,2,2,0,0,0,0,142,36,106,3,2,1
NAYA GAUN,135,72,63,1214,592,622,486,239,247,148,76,72,131,76,55,61,42,19,13,11,2,9,8,1,1,0,1,136,55,81,0,0,0
OKHARKOT,137,85,52,1659,825,834,823,398,425,414,217,197,381,210,171,226,112,114,58,45,13,27,24,3,3,2,1,222,62,160,6,3,3
PAKALA,192,99,93,1439,718,721,569,271,298,217,122,95,97,56,41,73,31,42,14,9,5,3,3,0,0,0,0,70,34,36,35,13,22
PHOPLI,364,210,154,2502,1317,1185,519,303,216,164,111,53,156,95,61,61,42,19,13,12,1,2,1,1,0,0,0,144,75,69,7,1,6
PUJA,188,86,102,1632,854,778,451,227,224,114,75,39,111,70,41,28,21,7,6,4,2,7,5,2,3,3,0,122,65,57,6,1,5
PYTHAN KHALANGA,179,88,91,1460,775,685,859,373,486,410,197,213,520,274,246,328,159,169,125,99,26,47,42,5,1,0,1,144,39,105,1,1,0
RAJBARA,315,148,167,1451,830,621,383,238,145,97,56,41,97,62,35,18,14,4,4,3,1,1,1,0,1,0,1,648,223,425,4,1,3
RAMDI,56,32,24,787,409,378,353,179,174,196,108,88,77,42,35,30,23,7,8,5,3,0,0,0,0,0,0,14,8,6,2,1,1
RUSPUR KOT,110,55,55,1094,509,585,506,216,290,236,115,121,140,54,86,60,34,26,17,12,5,1,1,0,0,0,0,178,57,121,3,2,1
SARI,99,54,45,1098,480,618,490,207,283,175,79,96,129,65,64,65,37,28,10,7,3,3,2,1,0,0,0,223,75,148,7,6,1
SWARGADWARIKHAL,84,44,40,1558,772,786,385,199,186,112,56,56,82,61,21,30,14,16,9,9,0,2,1,1,0,0,0,294,104,190,15,9,6
SYAULIWANG,116,57,59,1114,584,530,233,139,94,79,58,21,54,34,20,27,21,6,3,3,0,4,4,0,0,0,0,17,6,11,4,1,3
TIRAM,163,90,73,1751,895,856,662,352,310,225,145,80,116,71,45,42,30,12,13,11,2,3,3,0,2,0,2,315,123,192,80,37,43
TORWANG,105,56,49,1159,560,599,641,274,367,258,128,130,186,89,97,98,43,55,27,24,3,4,2,2,2,1,1,149,60,89,7,3,4
TUSARA,220,107,113,1696,802,894,676,302,374,277,147,130,285,162,123,121,78,43,14,13,1,7,6,1,1,0,1,216,96,120,9,4,5
WANGEMAROT,126,63,63,1511,768,743,618,269,349,250,132,118,225,93,132,72,43,29,10,9,1,0,0,0,1,1,0,207,42,165,14,5,9
INSTITUTIONAL,19,16,3,188,165,23,386,366,20,171,166,5,325,317,8,122,115,7,44,44,0,1,1,0,0,0,0,2,1,1,21,20,1
