VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARKHA,896,2,1,1
BADIKOT,1131,8,1,0
BANGESAL,1239,58,2,21
BARAULA,862,16,3,2
BARJIWANG,586,3,0,7
BELWAS,1307,8,2,1
BHINGRI,1182,97,7,15
BIJAYA NAGAR,891,39,3,4
BIJUBAR,1433,344,45,29
BIJULI,901,4,1,17
CHUJA,1211,8,0,13
DAKHAKWADI,1378,46,0,10
DAMRI,869,11,0,2
DANGWANG,824,10,2,2
DHARAMPANI,696,12,2,0
DHARMAWATI,1031,96,3,2
DHOBAGHAT (UDAYAPUR KOT),596,6,0,2
DHUWANG,699,5,0,4
DUNGEGADI,734,21,3,5
GOTHIWANG,1169,17,1,3
HANSAPUR,697,16,2,9
JUMRIKANDA,888,5,1,4
KHAIRA,894,14,0,6
KHAWANG,1114,19,2,12
KHUNG,609,89,1,7
KOCHIWANG,637,3,9,6
LIGHA,581,5,0,2
LIWANG,928,5,0,0
LUNG,916,100,2,1
MAJHAKOT,688,8,0,1
MARANTHANA,1403,42,0,10
MARKAWANG,584,9,6,7
NARIKOT,695,8,0,3
NAYA GAUN,698,38,22,2
OKHARKOT,1105,92,4,1
PAKALA,929,6,0,1
PHOPLI,1516,19,2,0
PUJA,1064,15,3,5
PYTHAN KHALANGA,1214,271,39,12
RAJBARA,827,12,0,6
RAMDI,506,11,8,0
RUSPUR KOT,765,7,2,4
SARI,844,2,1,3
SWARGADWARIKHAL,996,40,0,22
SYAULIWANG,622,10,0,4
TIRAM,1088,20,5,9
TORWANG,925,7,0,5
TUSARA,1185,7,0,1
WANGEMAROT,985,15,0,4
TOTAL,45538,1706,185,287
