VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ARKHA,885,2,0,4,0,9
BADIKOT,1128,4,2,0,0,6
BANGESAL,785,38,38,453,3,3
BARAULA,849,32,0,2,0,0
BARJIWANG,581,0,1,12,0,2
BELWAS,1250,20,7,1,30,10
BHINGRI,1157,23,92,22,1,6
BIJAYA NAGAR,868,17,44,7,0,1
BIJUBAR,1342,153,326,16,0,14
BIJULI,909,0,3,11,0,0
CHUJA,1225,1,0,5,0,1
DAKHAKWADI,1308,18,91,12,1,4
DAMRI,846,0,0,25,1,10
DANGWANG,754,3,0,80,0,1
DHARAMPANI,696,3,8,0,0,3
DHARMAWATI,952,114,33,5,0,28
DHOBAGHAT (UDAYAPUR KOT),589,0,2,10,0,3
DHUWANG,698,2,4,2,0,2
DUNGEGADI,664,8,8,75,1,7
GOTHIWANG,1137,13,27,5,0,8
HANSAPUR,622,3,0,98,0,1
JUMRIKANDA,856,1,10,31,0,0
KHAIRA,892,12,5,2,0,3
KHAWANG,1114,2,0,28,1,2
KHUNG,656,1,40,7,0,2
KOCHIWANG,596,4,0,49,1,5
LIGHA,528,1,1,51,1,6
LIWANG,915,1,0,12,0,5
LUNG,934,29,46,10,0,0
MAJHAKOT,687,0,0,8,0,2
MARANTHANA,1359,19,59,13,0,5
MARKAWANG,603,0,0,1,0,2
NARIKOT,701,2,0,3,0,0
NAYA GAUN,669,31,28,11,0,21
OKHARKOT,1088,92,20,0,0,2
PAKALA,922,8,1,1,0,4
PHOPLI,1410,3,8,105,7,4
PUJA,1076,3,0,6,0,2
PYTHAN KHALANGA,1330,157,31,8,4,6
RAJBARA,815,2,6,19,0,3
RAMDI,506,12,5,0,0,2
RUSPUR KOT,773,1,1,1,1,1
SARI,842,2,1,4,0,1
SWARGADWARIKHAL,1030,5,1,2,0,20
SYAULIWANG,579,2,0,53,0,2
TIRAM,1105,2,0,4,0,11
TORWANG,903,20,12,2,0,0
TUSARA,1189,1,1,0,0,2
WANGEMAROT,989,9,1,5,0,0
TOTAL,44312,876,963,1281,52,232
