VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ARKHA,836,0,0,48,8,1,0,7
BADIKOT,1060,0,1,15,55,3,1,5
BANGESAL,485,155,25,369,95,188,0,3
BARAULA,514,0,4,60,282,23,0,0
BARJIWANG,577,0,7,4,6,2,0,0
BELWAS,1091,50,0,77,50,35,11,4
BHINGRI,998,1,10,16,234,29,10,3
BIJAYA NAGAR,823,8,1,11,76,17,0,1
BIJUBAR,1414,86,12,30,207,83,7,12
BIJULI,644,4,24,115,118,17,1,0
CHUJA,713,1,75,142,135,101,65,0
DAKHAKWADI,1012,44,17,90,247,20,1,3
DAMRI,539,0,1,262,58,22,0,0
DANGWANG,535,1,22,60,183,36,0,1
DHARAMPANI,616,3,11,17,58,2,0,3
DHARMAWATI,1035,1,1,10,51,16,1,17
DHOBAGHAT (UDAYAPUR KOT),547,1,1,4,21,28,0,2
DHUWANG,524,1,0,124,15,34,9,1
DUNGEGADI,490,1,1,59,137,74,0,1
GOTHIWANG,938,0,4,81,33,133,1,0
HANSAPUR,325,1,3,246,48,2,99,0
JUMRIKANDA,755,1,8,11,53,24,46,0
KHAIRA,683,1,3,220,3,0,0,4
KHAWANG,766,1,6,272,35,62,3,2
KHUNG,638,0,0,2,63,0,0,3
KOCHIWANG,493,0,3,107,12,20,16,4
LIGHA,364,1,1,88,10,117,0,7
LIWANG,844,1,0,3,59,23,0,3
LUNG,992,0,1,0,18,4,4,0
MAJHAKOT,642,2,0,29,21,1,0,2
MARANTHANA,1150,0,1,27,269,4,0,4
MARKAWANG,523,0,1,44,22,14,0,2
NARIKOT,549,1,16,136,0,4,0,0
NAYA GAUN,632,33,0,73,16,0,1,5
OKHARKOT,1040,0,6,22,123,11,0,0
PAKALA,544,0,10,196,154,29,0,3
PHOPLI,1411,0,0,63,35,21,5,2
PUJA,880,0,0,131,36,38,0,2
PYTHAN KHALANGA,1425,0,17,12,46,32,1,3
RAJBARA,792,0,1,13,32,5,0,2
RAMDI,360,0,26,72,61,4,0,2
RUSPUR KOT,707,1,1,22,12,35,0,0
SARI,679,1,25,7,49,87,2,0
SWARGADWARIKHAL,700,0,39,260,40,16,1,2
SYAULIWANG,542,1,0,8,83,0,0,2
TIRAM,873,2,3,176,38,17,1,12
TORWANG,763,0,0,28,142,4,0,0
TUSARA,1135,0,2,5,45,4,0,2
WANGEMAROT,754,0,1,37,211,1,0,0
TOTAL,37352,404,391,3904,3805,1443,286,131
