VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARKHA,118,51,1,113,609,8
BADIKOT,541,425,6,163,0,5
BANGESAL,607,138,2,41,529,3
BARAULA,548,113,4,16,202,0
BARJIWANG,525,46,0,0,25,0
BELWAS,821,282,3,96,109,7
BHINGRI,1088,66,1,15,124,7
BIJAYA NAGAR,712,220,1,0,4,0
BIJUBAR,1574,249,5,2,9,12
BIJULI,780,107,0,0,36,0
CHUJA,400,490,0,121,221,0
DAKHAKWADI,1247,179,1,2,2,3
DAMRI,4,381,2,95,400,0
DANGWANG,435,321,0,11,70,1
DHARAMPANI,559,131,7,0,10,3
DHARMAWATI,884,222,3,0,6,17
DHOBAGHAT (UDAYAPUR KOT),216,88,1,28,268,3
DHUWANG,504,72,3,3,125,1
DUNGEGADI,316,90,2,65,289,1
GOTHIWANG,677,93,1,28,391,0
HANSAPUR,195,70,1,100,358,0
JUMRIKANDA,100,557,1,29,210,1
KHAIRA,752,155,0,0,3,4
KHAWANG,9,160,2,254,720,2
KHUNG,49,163,0,215,276,3
KOCHIWANG,1,68,0,115,466,5
LIGHA,0,148,1,39,393,7
LIWANG,83,535,11,206,95,3
LUNG,762,225,7,8,17,0
MAJHAKOT,328,364,0,0,3,2
MARANTHANA,830,614,0,3,4,4
MARKAWANG,372,35,1,2,194,2
NARIKOT,306,320,2,36,42,0
NAYA GAUN,665,72,2,10,6,5
OKHARKOT,980,192,1,10,19,0
PAKALA,668,98,0,0,167,3
PHOPLI,385,597,1,99,453,2
PUJA,85,613,0,217,170,2
PYTHAN KHALANGA,1399,132,0,0,2,3
RAJBARA,177,107,0,173,386,2
RAMDI,445,60,0,0,18,2
RUSPUR KOT,682,92,1,1,2,0
SARI,596,49,0,104,101,0
SWARGADWARIKHAL,48,55,5,596,352,2
SYAULIWANG,457,155,2,1,19,2
TIRAM,807,82,1,17,203,12
TORWANG,663,270,0,3,1,0
TUSARA,842,347,0,2,0,2
WANGEMAROT,349,247,4,236,168,0
TOTAL,25591,10346,86,3275,8277,141
