VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARKHA,1268,1484,913,781,353,698,2,5
BADIKOT,1092,1392,942,1024,146,361,4,7
BANGESAL,1363,1677,1101,1088,260,570,2,19
BARAULA,811,1114,675,787,127,292,9,35
BARJIWANG,486,627,428,405,51,184,7,38
BELWAS,1130,1582,884,1026,202,443,44,113
BHINGRI,1070,1362,881,946,176,385,13,31
BIJAYA NAGAR,778,965,666,646,103,305,9,14
BIJUBAR,1397,1521,1126,1099,245,388,26,34
BIJULI,768,1020,700,757,67,252,1,11
CHUJA,1181,1603,1022,1102,154,484,5,17
DAKHAKWADI,1176,1538,1021,1086,150,437,5,15
DAMRI,982,1292,687,608,291,679,4,5
DANGWANG,983,1195,794,864,177,314,12,17
DHARAMPANI,610,769,543,546,63,216,4,7
DHARMAWATI,980,1097,799,755,171,333,10,9
DHOBAGHAT (UDAYAPUR KOT),647,906,491,536,134,328,22,42
DHUWANG,806,979,648,645,153,324,5,10
DUNGEGADI,972,1226,797,777,162,395,13,54
GOTHIWANG,1128,1550,938,981,178,543,12,26
HANSAPUR,836,1090,687,742,146,339,3,9
JUMRIKANDA,901,1177,652,659,247,512,2,6
KHAIRA,796,1071,684,763,99,300,13,8
KHAWANG,1248,1554,947,896,223,476,78,182
KHUNG,712,833,614,630,83,166,15,37
KOCHIWANG,684,993,508,554,126,327,50,112
LIGHA,820,930,493,372,325,556,2,2
LIWANG,1117,1294,945,918,143,324,29,52
LUNG,970,1178,837,884,126,289,7,5
MAJHAKOT,691,814,592,577,97,237,2,0
MARANTHANA,1300,1622,1084,1083,190,499,26,40
MARKAWANG,662,840,518,539,118,235,26,66
NARIKOT,669,962,534,633,131,325,4,4
NAYA GAUN,724,935,616,640,108,295,0,0
OKHARKOT,1162,1346,984,1018,164,294,14,34
PAKALA,946,1212,776,829,155,335,15,48
PHOPLI,1659,2002,1292,1165,328,707,39,130
PUJA,1076,1306,864,895,211,407,1,4
PYTHAN KHALANGA,1010,1181,862,815,140,353,8,13
RAJBARA,1095,1315,846,798,227,491,22,26
RAMDI,513,614,395,384,95,180,23,50
RUSPUR KOT,646,897,566,674,78,221,2,2
SARI,692,977,592,679,82,251,18,47
SWARGADWARIKHAL,998,1349,679,781,275,459,44,109
SYAULIWANG,783,953,536,436,240,502,7,15
TIRAM,1259,1609,931,927,274,559,54,123
TORWANG,856,1108,744,797,107,303,5,8
TUSARA,1158,1560,977,1151,139,342,42,67
WANGEMAROT,993,1191,871,886,120,292,2,13
INSTITUTIONAL,456,48,196,43,246,5,14,0
