VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ARKHA,287,602,564,8,0,2,0,2,274,0,0,1,0,0,11
BADIKOT,229,863,763,100,24,4,0,2,497,0,3,1,0,3,48
BANGESAL,153,1113,946,132,138,19,11,22,906,5,33,74,2,35,54
BARAULA,207,674,518,119,109,7,1,8,525,0,2,1,0,1,2
BARJIWANG,95,497,408,83,106,5,9,3,402,1,4,2,0,3,4
BELWAS,232,1085,878,156,127,6,2,8,928,0,7,16,0,4,1
BHINGRI,115,1130,819,241,252,36,24,8,1013,20,47,51,1,36,56
BIJAYA NAGAR,99,790,676,80,171,21,6,9,647,4,16,15,1,8,48
BIJUBAR,244,1536,1096,134,675,122,46,158,1381,16,146,111,6,68,71
BIJULI,138,777,637,100,99,5,1,4,700,1,13,6,0,2,8
CHUJA,271,949,820,38,51,4,3,2,665,0,6,0,0,1,12
DAKHAKWADI,246,1158,986,150,326,34,9,23,952,4,30,64,2,30,30
DAMRI,336,443,432,1,0,0,0,16,59,0,0,1,0,0,103
DANGWANG,131,667,627,56,11,1,0,4,435,0,1,0,0,0,40
DHARAMPANI,56,611,469,97,105,7,3,0,548,0,4,1,0,2,43
DHARMAWATI,130,933,810,101,282,39,13,63,778,6,38,23,1,20,69
DHOBAGHAT (UDAYAPUR KOT),120,484,400,8,0,1,1,1,372,0,0,0,0,0,0
DHUWANG,112,538,459,64,99,1,1,2,438,0,2,5,0,7,58
DUNGEGADI,125,603,514,68,41,4,6,7,439,4,10,4,0,0,35
GOTHIWANG,275,890,780,168,127,7,4,3,613,3,14,28,1,0,25
HANSAPUR,122,595,544,23,1,2,2,10,402,1,2,2,0,1,7
JUMRIKANDA,247,601,586,6,3,3,0,2,222,0,4,2,0,0,50
KHAIRA,139,750,614,93,223,20,3,7,621,1,21,6,1,5,25
KHAWANG,377,706,667,12,0,0,0,8,193,0,0,1,0,0,64
KHUNG,147,547,502,3,19,2,0,0,365,0,2,0,1,0,12
KOCHIWANG,211,436,370,0,0,0,4,1,288,0,0,0,0,0,8
LIGHA,197,372,364,2,0,0,0,0,138,0,0,0,0,0,19
LIWANG,247,672,613,12,1,4,0,2,319,0,0,0,0,0,14
LUNG,210,809,730,46,80,7,0,20,480,1,15,3,0,3,0
MAJHAKOT,134,546,445,18,6,1,4,2,429,1,3,1,1,0,17
MARANTHANA,382,1063,884,107,180,15,2,25,851,1,22,3,1,8,10
MARKAWANG,107,485,444,31,1,0,2,2,339,0,2,0,1,0,14
NARIKOT,204,502,416,56,9,1,1,1,293,0,1,0,0,1,0
NAYA GAUN,102,658,476,119,157,5,5,3,605,5,36,61,1,32,0
OKHARKOT,177,979,856,66,238,15,7,15,676,3,18,2,1,6,46
PAKALA,269,654,525,130,66,1,1,3,506,0,6,0,3,5,13
PHOPLI,483,1025,917,43,3,1,1,7,470,1,5,1,1,2,29
PUJA,360,700,646,8,5,0,0,0,319,0,0,1,0,0,27
PYTHAN KHALANGA,138,1391,1101,155,652,105,40,152,1231,4,71,13,4,78,7
RAJBARA,250,511,469,7,0,0,0,1,246,1,3,0,0,0,84
RAMDI,73,411,292,63,90,6,0,6,333,2,17,7,1,9,41
RUSPUR KOT,147,631,528,53,184,7,3,5,500,0,9,2,1,11,0
SARI,117,729,613,255,114,10,11,2,660,0,3,7,0,3,4
SWARGADWARIKHAL,205,791,720,23,0,2,12,6,480,1,9,0,0,0,62
SYAULIWANG,155,425,399,20,0,0,0,0,308,0,0,0,0,0,56
TIRAM,198,885,718,94,13,4,0,9,682,0,0,1,0,0,39
TORWANG,243,689,581,41,120,6,4,8,495,1,9,2,0,0,5
TUSARA,163,892,714,65,56,3,1,2,638,0,1,0,0,0,138
WANGEMAROT,204,800,674,68,71,2,2,1,516,2,6,2,1,0,0
