VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ABHIRAO,612,80,2,2,0,60,36
AJIGARA,337,229,5,79,3,5,19
BAHADURGANJ,585,779,111,215,2,1,39
BALARAMWAPUR,512,60,6,115,2,26,2
BALUHAWA,525,89,5,39,22,73,7
BANGANGA,492,1641,261,442,4,13,19
BARAIPUR,322,44,10,109,0,1,2
BARKULPUR,488,683,257,189,22,123,3
BASANTAPUR,221,154,9,43,8,4,19
BASKHORE,914,140,30,69,16,148,45
BAIDAULI,386,246,5,42,66,0,8
BHAGWANPUR,330,113,63,66,39,18,156
BHALWARI,551,55,4,66,10,72,1
BIJUWA,561,75,8,11,24,122,6
BIRPUR,582,1084,7,167,28,202,5
BISHUNPUR,193,365,16,71,3,95,9
BITHUWA,306,41,6,36,10,161,35
BUDDHI,454,287,32,99,7,224,5
CHANAI,561,890,130,297,6,42,25
DHANKAULI,544,183,36,226,26,253,38
DHARMPANIYA,524,27,9,5,0,52,50
DOHANI,686,135,10,60,1,34,12
DUBIYA,569,117,58,54,0,166,7
DUMARA,455,157,0,68,2,15,19
FULIKA,590,120,36,118,3,51,2
GAJEHADA,837,1663,49,268,8,63,72
GANESHPUR,239,278,19,247,8,53,10
GAURI,451,55,6,66,4,14,4
GOTIHAWA,518,81,0,19,1,58,6
GUGAULI,659,296,161,131,33,306,28
HARNAMPUR,365,168,0,54,0,97,4
HARDAUNA,465,49,9,25,28,98,2
HARIHARPUR,599,186,42,114,2,145,5
HATHAUSA,511,772,60,140,4,283,3
HATHIHAWA,606,145,48,148,38,53,59
JAHADI,492,131,31,66,16,108,7
JAWABHARI,96,256,1,54,0,1,35
JAYANAGAR,418,852,67,114,4,188,15
KAJARHAWA,509,40,43,44,3,19,4
KAPILVASTU MUNICIPALITY,1948,2371,77,307,162,159,106
KHURHURIYA,483,363,28,170,34,274,10
KOPAWA,473,1124,17,432,3,89,4
KRISHNANAGAR,280,1216,25,21,3,2,37
KUSHHAWA,410,85,37,38,21,94,1
LAWANI,742,119,18,67,7,66,36
LALPUR,305,110,3,129,6,28,1
MAHARAJGANJ,1626,466,65,192,13,38,24
MAHENDRAKOT,292,494,462,91,3,198,8
MAHUWA,494,127,36,91,6,71,4
BHALWAD,265,247,483,44,2,223,15
MANPUR,298,62,39,8,20,135,0
BHILMI,475,120,1,28,18,4,7
MOTIPUR,613,1852,115,392,55,262,18
NANDANAGAR,619,38,2,42,124,120,15
NIGLIHAWA,762,702,33,277,22,126,19
PAKADI,541,434,4,26,4,52,41
PARSOHIYA,470,4,2,18,4,52,7
PATARIYA,412,344,5,229,21,252,14
PATNA,473,282,53,621,9,174,20
PATHARDAIYA,478,562,7,338,61,388,6
PIPARA,386,261,13,50,3,4,5
PURUSHOTTAMPUR,212,139,1,66,3,4,5
RAJPUR,183,280,10,48,37,119,4
RAMNAGAR,78,446,1,84,9,10,9
RANGAPUR,580,11,27,37,3,73,4
SAURAHA,354,57,27,88,13,21,8
SHIVANAGAR,246,323,20,95,39,4,8
SHIVAGADHI,308,169,405,244,16,2,7
SHIVAPUR,689,1351,239,524,114,279,24
SIHOKHORE,589,41,0,3,1,161,9
SIRSIHAWA,283,235,1,0,1,78,5
SISAWA,623,147,24,109,5,42,3
SOMDIHA,633,101,16,19,36,18,29
THUNHIYA,569,247,8,152,0,94,6
TILAURAKOT,775,320,5,151,2,59,4
TITIRKHI,431,78,5,61,6,11,62
UDAYAPUR,352,98,39,108,2,1,6
VIDHYANAGAR,151,364,22,125,0,0,23
TOTAL,38966,28556,4027,9703,1341,7234,1437
