VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ABHIRAO,620,128,8,36
AJIGARA,558,71,29,19
BAHADURGANJ,1394,292,14,32
BALARAMWAPUR,647,72,3,1
BALUHAWA,724,27,3,6
BANGANGA,379,2104,380,9
BARAIPUR,469,15,2,2
BARKULPUR,935,698,131,1
BASANTAPUR,408,39,2,9
BASKHORE,1037,54,244,27
BAIDAULI,664,59,20,10
BHAGWANPUR,757,11,1,16
BHALWARI,674,46,38,1
BIJUWA,703,100,0,4
BIRPUR,1392,623,56,4
BISHUNPUR,672,62,11,7
BITHUWA,538,18,5,34
BUDDHI,519,542,46,1
CHANAI,1301,623,22,5
DHANKAULI,1216,72,6,12
DHARMPANIYA,646,11,8,2
DOHANI,865,14,45,14
DUBIYA,548,404,13,6
DUMARA,639,51,13,13
FULIKA,856,52,11,1
GAJEHADA,655,1021,1248,36
GANESHPUR,808,35,2,9
GAURI,540,45,12,3
GOTIHAWA,622,45,11,5
GUGAULI,1250,121,219,24
HARNAMPUR,658,25,1,4
HARDAUNA,656,13,5,2
HARIHARPUR,945,111,34,3
HATHAUSA,719,794,260,0
HATHIHAWA,1036,22,20,19
JAHADI,747,84,15,5
JAWABHARI,417,19,6,1
JAYANAGAR,633,913,99,13
KAJARHAWA,628,28,2,4
KAPILVASTU MUNICIPALITY,2881,2092,108,49
KHURHURIYA,1006,139,211,6
KOPAWA,378,1191,571,2
KRISHNANAGAR,624,562,368,30
KUSHHAWA,667,19,0,0
LAWANI,989,34,5,27
LALPUR,552,26,3,1
MAHARAJGANJ,2202,173,35,14
MAHENDRAKOT,22,1377,144,5
MAHUWA,775,42,6,6
BHALWAD,267,862,137,13
MANPUR,549,11,1,1
BHILMI,586,50,9,8
MOTIPUR,549,2416,336,6
NANDANAGAR,901,36,6,17
NIGLIHAWA,1091,267,567,16
PAKADI,919,134,40,9
PARSOHIYA,510,30,12,5
PATARIYA,1137,109,21,10
PATNA,1294,224,96,18
PATHARDAIYA,1698,57,80,5
PIPARA,614,102,5,1
PURUSHOTTAMPUR,387,29,8,6
RAJPUR,567,100,11,3
RAMNAGAR,595,34,3,5
RANGAPUR,701,30,2,2
SAURAHA,527,15,17,9
SHIVANAGAR,679,38,4,14
SHIVAGADHI,924,177,43,7
SHIVAPUR,1839,1062,305,14
SIHOKHORE,755,25,15,9
SIRSIHAWA,572,25,3,3
SISAWA,832,108,12,1
SOMDIHA,664,57,105,26
THUNHIYA,896,165,12,3
TILAURAKOT,1084,174,54,4
TITIRKHI,559,79,11,5
UDAYAPUR,571,26,7,2
VIDHYANAGAR,629,42,2,12
TOTAL,62467,21603,6420,774
