VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ABHIRAO,670,19,4,2,61,36
AJIGARA,450,128,0,76,4,19
BAHADURGANJ,727,678,3,285,2,37
BALARAMWAPUR,559,16,0,143,3,2
BALUHAWA,584,57,1,36,75,7
BANGANGA,313,887,687,937,29,19
BARAIPUR,331,42,0,113,0,2
BARKULPUR,475,289,396,577,25,3
BASANTAPUR,146,230,0,51,13,18
BASKHORE,989,90,2,140,98,43
BAIDAULI,447,244,1,52,1,8
BHAGWANPUR,344,70,0,226,1,144
BHALWARI,588,27,0,77,66,1
BIJUWA,619,42,1,13,126,6
BIRPUR,626,874,157,300,113,5
BISHUNPUR,542,20,1,178,2,9
BITHUWA,326,18,2,55,159,35
BUDDHI,469,234,23,354,23,5
CHANAI,626,845,4,451,0,25
DHANKAULI,629,114,7,277,241,38
DHARMPANIYA,533,19,2,16,52,45
DOHANI,799,39,0,55,33,12
DUBIYA,498,67,22,377,0,7
DUMARA,503,118,2,54,21,18
FULIKA,605,96,20,147,50,2
GAJEHADA,748,1260,441,410,36,65
GANESHPUR,266,255,1,322,0,10
GAURI,458,47,0,91,0,4
GOTIHAWA,535,73,0,20,49,6
GUGAULI,563,256,19,745,3,28
HARNAMPUR,377,156,0,54,97,4
HARDAUNA,481,27,2,103,61,2
HARIHARPUR,609,174,1,301,3,5
HATHAUSA,686,375,204,396,109,3
HATHIHAWA,690,92,11,170,80,54
JAHADI,500,71,51,173,51,5
JAWABHARI,222,119,10,57,0,35
JAYANAGAR,469,277,520,356,21,15
KAJARHAWA,516,37,0,88,17,4
KAPILVASTU MUNICIPALITY,2164,1996,142,605,126,97
KHURHURIYA,597,238,11,367,139,10
KOPAWA,421,918,215,582,2,4
KRISHNANAGAR,548,725,239,34,1,37
KUSHHAWA,477,20,0,177,11,1
LAWANI,745,94,34,61,95,26
LALPUR,384,38,2,141,16,1
MAHARAJGANJ,1773,337,10,276,4,24
MAHENDRAKOT,281,377,94,785,3,8
MAHUWA,544,66,8,205,2,4
BHALWAD,158,140,81,883,2,15
MANPUR,309,49,0,204,0,0
BHILMI,498,100,1,43,4,7
MOTIPUR,460,936,854,1028,11,18
NANDANAGAR,648,17,3,146,131,15
NIGLIHAWA,871,566,35,378,72,19
PAKADI,548,434,1,27,54,38
PARSOHIYA,475,1,0,20,54,7
PATARIYA,412,303,36,243,270,13
PATNA,359,162,195,861,35,20
PATHARDAIYA,677,378,3,580,196,6
PIPARA,423,239,1,51,3,5
PURUSHOTTAMPUR,312,47,1,65,0,5
RAJPUR,263,172,54,188,0,4
RAMNAGAR,77,447,1,80,23,9
RANGAPUR,593,3,1,57,77,4
SAURAHA,404,29,1,112,15,7
SHIVANAGAR,428,151,3,145,1,7
SHIVAGADHI,277,176,4,682,5,7
SHIVAPUR,746,1183,126,1034,107,24
SIHOKHORE,615,9,1,53,117,9
SIRSIHAWA,318,201,1,77,1,5
SISAWA,689,93,1,131,36,3
SOMDIHA,676,74,1,53,19,29
THUNHIYA,603,191,20,257,0,5
TILAURAKOT,616,399,59,235,3,4
TITIRKHI,434,90,0,58,10,62
UDAYAPUR,438,19,1,141,1,6
VIDHYANAGAR,174,352,1,135,0,23
TOTAL,41953,20252,4836,19478,3371,1374
