VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ABHIRAO,3,748,3,1,1,0,0,36
AJIGARA,15,620,4,18,0,0,1,19
BAHADURGANJ,471,1100,8,106,13,0,3,31
BALARAMWAPUR,2,716,2,2,0,0,0,1
BALUHAWA,0,742,1,1,2,0,8,6
BANGANGA,616,2201,3,6,0,0,38,8
BARAIPUR,3,475,1,1,0,0,6,2
BARKULPUR,64,1674,4,0,1,0,21,1
BASANTAPUR,75,372,2,1,0,0,0,8
BASKHORE,10,1304,4,13,2,0,3,26
BAIDAULI,0,707,2,5,0,0,29,10
BHAGWANPUR,1,676,9,84,0,0,1,14
BHALWARI,20,652,46,35,0,0,5,1
BIJUWA,4,799,0,0,0,0,0,4
BIRPUR,131,1882,8,21,1,0,29,3
BISHUNPUR,26,691,2,25,0,0,1,7
BITHUWA,3,551,3,4,0,1,0,33
BUDDHI,17,1077,10,2,1,0,0,1
CHANAI,424,1400,10,36,2,0,73,6
DHANKAULI,13,1271,3,0,2,0,5,12
DHARMPANIYA,213,450,0,2,0,0,0,2
DOHANI,6,879,3,0,0,0,36,14
DUBIYA,4,953,3,0,5,0,0,6
DUMARA,7,605,2,3,82,0,4,13
FULIKA,4,863,1,0,8,0,43,1
GAJEHADA,118,2731,8,1,7,0,59,36
GANESHPUR,138,645,11,44,0,0,7,9
GAURI,2,594,1,0,0,0,0,3
GOTIHAWA,11,662,0,2,2,0,1,5
GUGAULI,200,1212,14,102,7,53,1,25
HARNAMPUR,4,678,1,1,0,0,0,4
HARDAUNA,1,673,0,0,0,0,0,2
HARIHARPUR,6,1081,1,0,1,0,1,3
HATHAUSA,593,1176,1,2,1,0,0,0
HATHIHAWA,26,991,3,4,1,1,52,19
JAHADI,205,636,4,1,0,0,0,5
JAWABHARI,2,440,0,0,0,0,0,1
JAYANAGAR,1,1631,3,0,0,0,10,13
KAJARHAWA,1,655,0,2,0,0,0,4
KAPILVASTU MUNICIPALITY,1285,3484,13,48,26,0,223,51
KHURHURIYA,118,1101,44,76,1,0,16,6
KOPAWA,421,1639,5,1,5,0,69,2
KRISHNANAGAR,595,941,2,6,2,0,8,30
KUSHHAWA,3,632,11,36,3,0,1,0
LAWANI,6,940,3,0,9,0,73,24
LALPUR,2,558,3,3,1,0,14,1
MAHARAJGANJ,60,2296,13,32,4,2,5,12
MAHENDRAKOT,358,905,39,124,99,12,6,5
MAHUWA,6,814,0,3,1,0,0,5
BHALWAD,245,922,1,0,91,6,1,13
MANPUR,3,526,2,31,0,0,0,0
BHILMI,2,613,1,29,0,0,0,8
MOTIPUR,1060,2121,5,1,3,0,110,7
NANDANAGAR,1,943,0,0,0,0,0,16
NIGLIHAWA,474,1435,0,1,15,0,1,15
PAKADI,80,1007,4,2,0,0,0,9
PARSOHIYA,5,516,0,2,3,0,26,5
PATARIYA,42,1222,2,0,0,0,0,11
PATNA,47,1371,3,0,35,0,157,19
PATHARDAIYA,14,1697,4,88,2,6,25,4
PIPARA,7,711,0,2,1,0,0,1
PURUSHOTTAMPUR,21,388,1,13,1,0,0,6
RAJPUR,7,667,1,2,1,0,0,3
RAMNAGAR,6,615,6,4,1,0,0,5
RANGAPUR,2,720,0,1,1,0,9,2
SAURAHA,3,549,0,9,0,0,0,7
SHIVANAGAR,6,665,1,50,0,0,0,13
SHIVAGADHI,31,1048,1,0,3,61,0,7
SHIVAPUR,315,2676,4,0,117,3,91,14
SIHOKHORE,268,513,0,14,0,0,0,9
SIRSIHAWA,3,528,2,26,3,0,38,3
SISAWA,6,921,6,17,2,0,0,1
SOMDIHA,195,605,15,1,0,0,10,26
THUNHIYA,3,1059,0,11,0,0,0,3
TILAURAKOT,15,1294,0,2,1,0,0,4
TITIRKHI,173,473,2,2,0,0,0,4
UDAYAPUR,2,597,1,3,1,0,0,2
VIDHYANAGAR,4,610,2,55,0,0,2,12
TOTAL,9334,77535,378,1220,571,145,1322,759
