VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AGARA,1522,41,1,1,0,0,7
AMBHANJYANG,1200,84,95,10,0,2,12
BAJRABARAHI,1497,115,5,7,3,1,2
BASAMADI,1303,1444,715,41,2,36,16
BETINI,540,0,68,8,0,1,0
BHAISE,969,179,189,24,0,20,7
BHARTA PUNDYADEVI,439,6,212,9,1,23,3
BHIMFEDI,978,161,16,4,0,0,2
BUDHICHAUR,354,1,13,2,0,0,0
CHITLANG,1108,63,0,0,0,0,1
CHURIYAMAI,438,1228,1058,32,2,214,8
DAMAN,1706,161,35,3,0,4,4
DANDAKHARKA,636,5,51,24,2,0,2
DHIYAL,124,3,926,25,0,10,2
FAKHEL,981,24,2,0,0,0,4
FAPARBARI,1925,62,1029,161,0,33,11
GOGANE,945,1,2,32,0,1,2
HANDIKHOLA,686,327,2546,60,2,49,6
HATIYA,192,1514,855,88,29,55,18
HETAUDA MUNICIPALITY,2345,15681,974,273,20,384,174
HURNAMADI,851,320,216,26,76,25,10
IPA PANCHAKANYA,394,5,13,0,44,2,1
KALIKATAR,604,7,157,12,0,12,4
KANKADA,785,5,280,80,0,151,3
KHAIRANG,431,0,130,20,0,0,2
KOGATE,277,3,0,0,0,0,0
KULEKHANI,613,45,10,0,0,0,2
MAKWANPURGADHI,1637,221,607,70,3,22,16
MANAHARI,782,1223,2008,65,2,124,11
MANTHALI,457,4,19,26,0,1,2
MARKHU,606,25,0,1,2,0,0
NAMTAR,1338,34,228,88,1,2,18
NIBUWATAR,667,153,49,3,7,2,3
PADAM POKHARI,643,1619,1151,34,1,148,11
PALUNG,1117,116,0,0,0,0,3
RAIGAUN,312,40,1115,385,3,32,6
RAKSIRANG,662,67,389,30,0,1,3
SARIKHET PALASE,789,64,619,34,1,10,1
SHIKHARPUR,737,15,253,37,0,4,8
SHREEPUR CHHATIWAN,1775,330,1966,53,3,34,11
SISNERI MAHADEVSTHAN,716,16,2,1,0,0,4
SUKAURA,622,4,11,3,0,2,12
THINGAN,595,7,69,42,0,0,0
TISTUNG DEURALI,1347,16,11,4,0,22,5
TOTAL,38645,25439,18095,1818,204,1427,417
