VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AGARA,553,623,0,388,2,6
AMBHANJYANG,1280,113,1,1,1,7
BAJRABARAHI,1486,127,5,9,1,2
BASAMADI,2978,493,14,51,9,12
BETINI,308,188,0,112,9,0
BHAISE,1290,85,1,1,5,6
BHARTA PUNDYADEVI,51,334,0,248,58,2
BHIMFEDI,1116,40,1,0,2,2
BUDHICHAUR,351,16,1,1,0,1
CHITLANG,1146,21,1,0,3,1
CHURIYAMAI,2504,442,3,21,4,6
DAMAN,1771,129,4,2,4,3
DANDAKHARKA,94,223,0,306,96,1
DHIYAL,32,365,0,516,176,1
FAKHEL,880,126,2,1,0,2
FAPARBARI,1347,922,4,872,70,6
GOGANE,115,518,1,338,10,1
HANDIKHOLA,3068,497,7,83,18,3
HATIYA,2338,346,10,41,7,9
HETAUDA MUNICIPALITY,19079,512,88,28,69,75
HURNAMADI,1073,434,3,4,0,10
IPA PANCHAKANYA,3,281,0,174,0,1
KALIKATAR,47,326,0,241,179,3
KANKADA,127,833,3,234,106,1
KHAIRANG,160,73,0,292,56,2
KOGATE,160,103,1,16,0,0
KULEKHANI,634,35,0,0,0,1
MAKWANPURGADHI,1936,566,4,57,1,12
MANAHARI,2958,1001,7,223,20,6
MANTHALI,161,166,1,179,2,0
MARKHU,580,50,2,0,1,1
NAMTAR,921,629,6,104,41,8
NIBUWATAR,856,24,1,0,1,2
PADAM POKHARI,3241,317,21,4,16,8
PALUNG,1192,39,3,0,0,2
RAIGAUN,3,578,0,1034,274,4
RAKSIRANG,170,661,0,249,72,0
SARIKHET PALASE,108,869,10,389,141,1
SHIKHARPUR,903,141,0,7,0,3
SHREEPUR CHHATIWAN,3177,751,4,236,1,3
SISNERI MAHADEVSTHAN,579,155,1,0,0,4
SUKAURA,389,248,0,11,3,3
THINGAN,22,551,2,129,9,0
TISTUNG DEURALI,1277,126,0,0,0,2
TOTAL,62464,15077,212,6602,1467,223
