VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BHIYEE,256,326,193,184,54,139,9,3
DHAINAKOT,500,561,403,329,80,162,17,70
DOLPHU,90,101,39,31,48,68,3,2
GUMTHA,540,588,413,379,101,156,26,53
HYANGLU,424,495,316,285,103,200,5,10
JIMA,601,714,505,442,84,230,12,42
KARKIBADA,790,835,534,406,206,346,50,83
KIMRI,101,152,67,93,32,56,2,3
KOT DANDA,360,431,264,276,92,151,4,4
MANGRI,504,549,287,229,199,297,18,23
MUGU,171,185,111,115,60,69,0,1
NATHARPU,338,361,262,175,63,165,13,21
PHOTU,306,317,237,186,68,130,1,1
PINA,850,918,628,574,212,339,10,5
PULU,211,277,113,130,70,89,28,58
RARA,320,317,248,180,64,133,8,4
KALAI,330,354,201,160,127,189,2,5
ROWA,932,1069,693,686,201,334,38,49
RUGA,853,876,639,520,200,348,14,8
KHAMALE,424,450,297,255,114,186,13,9
SERI,518,551,323,256,182,280,13,15
SHREEKOT,776,831,586,471,180,333,10,27
SHREENAGAR,786,833,624,542,134,232,28,59
SUKADHIK,638,681,466,417,143,230,29,34
INSTITUTIONAL,113,8,18,4,94,4,1,0
