VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AYODHYAPURI,2230,16,63,10,229,0,2,5
BACHHAULI,1169,10,571,2,523,10,22,14
BAGAUDA,2074,13,141,7,290,0,3,4
BHANDARA,2145,4,923,5,389,11,8,4
BHARATPUR MUNICIPALITY,7205,468,27421,30,1416,31,178,190
BIRENDRANAGAR,1998,15,1024,7,317,1,4,8
CHAINPUR,2016,10,1176,4,485,17,55,16
CHANDI BHANJYANG,823,4,16,1,0,0,0,3
DAHAKHANI,934,3,0,1,0,0,0,1
DARECHOK,1229,13,747,1,22,2,13,2
DIBYANAGAR,1199,15,503,3,203,1,4,8
FULBARI,264,4,381,4,286,5,0,1
GARDI,1770,7,77,21,285,0,1,7
GITANAGAR,1632,20,989,8,677,8,23,18
GUNJANAGAR,1958,34,922,14,592,13,7,6
JAGATPUR,1908,11,489,1,212,4,4,6
JUTPANI,1922,11,1089,3,288,3,1,8
KABILAS,1089,1,61,0,6,0,3,4
KATHAR,1532,5,212,6,240,8,34,3
KAULE,951,0,2,1,1,0,0,8
KHAIRAHANI,1841,52,2334,15,318,7,168,27
KORAK,1143,9,2,2,1,0,0,4
KUMROJ,1084,2,238,7,412,3,3,1
LOTHAR,762,0,0,0,1,0,1,2
MADI KALYANPUR,1130,3,107,0,462,0,1,2
MANGALPUR,2127,28,1573,3,747,8,24,17
MEGHAULI,2630,19,343,2,52,31,1,8
PADAMPUR,2549,13,436,2,214,2,10,5
PARBATIPUR,746,5,565,0,287,1,5,5
PATIHANI,1539,17,743,4,520,5,7,10
PIPLE,2691,9,404,8,143,2,3,5
PITHUWA,1297,18,981,3,571,8,10,10
RATNANAGAR MUNICIPALITY,4054,106,5462,13,1059,20,55,82
SARADANAGAR,989,32,1321,11,311,13,6,9
SHAKTIKHOR,1647,8,128,3,106,0,5,12
SIBANAGAR,802,7,716,7,323,11,1,1
SIDDI,647,0,0,1,1,0,1,1
SUKRANAGAR,1207,5,385,1,249,9,6,1
TOTAL,64933,997,52545,211,12238,234,669,518
