VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AYODHYAPURI,6,480,3,1341,720,5
BACHHAULI,2195,92,8,2,10,14
BAGAUDA,6,543,6,1750,223,4
BHANDARA,3217,239,7,5,17,4
BHARATPUR MUNICIPALITY,36178,433,68,33,27,200
BIRENDRANAGAR,3213,136,8,2,7,8
CHAINPUR,3656,95,8,1,3,16
CHANDI BHANJYANG,160,353,1,211,120,2
DAHAKHANI,163,420,1,272,82,1
DARECHOK,1854,164,0,4,5,2
DIBYANAGAR,1877,43,5,1,2,8
FULBARI,928,14,2,0,0,1
GARDI,4,391,7,1585,174,7
GITANAGAR,3253,69,18,7,10,18
GUNJANAGAR,3365,155,10,8,2,6
JAGATPUR,2555,63,4,0,6,7
JUTPANI,3178,99,4,2,34,8
KABILAS,990,154,1,2,13,4
KATHAR,1976,56,2,0,2,4
KAULE,2,68,1,455,429,8
KHAIRAHANI,4627,87,13,6,2,27
KORAK,264,556,22,172,143,4
KUMROJ,1655,76,9,0,9,1
LOTHAR,319,18,5,22,400,2
MADI KALYANPUR,1,347,1,1198,156,2
MANGALPUR,4347,143,7,4,8,18
MEGHAULI,2956,106,14,0,2,8
PADAMPUR,2676,522,10,4,14,5
PARBATIPUR,1581,17,2,0,8,6
PATIHANI,2764,49,14,5,3,10
PIPLE,2736,258,12,138,116,5
PITHUWA,2774,93,5,1,15,10
RATNANAGAR MUNICIPALITY,10344,334,38,22,26,87
SARADANAGAR,2629,42,10,2,0,9
SHAKTIKHOR,1438,339,4,13,102,13
SIBANAGAR,1841,20,2,0,2,3
SIDDI,155,122,1,199,173,1
SUKRANAGAR,1845,15,0,1,1,1
TOTAL,113728,7211,333,7468,3066,539
