VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARCHHANI,2,3,1,212,437,2
BHAGAWATI TOL,0,0,1,129,490,1
BHOOR,2,7,0,384,737,1
DAHA,9,1,2,313,532,6
DANDAGAUN,15,8,7,439,780,4
DASERA,2,2,3,913,504,8
DHIME,5,2,1,402,891,10
GARKHAKOT,0,2,0,372,609,6
JAGATIPUR,13,54,2,541,829,2
JHAPRA,1,16,6,700,260,3
JUNGA THAPACHAUR,22,13,2,407,384,1
KARKIGAUN,0,30,0,632,479,2
KHAGENKOT,254,2,4,154,546,3
KHALANGA,545,31,2,1142,795,8
KORTRANG,0,0,0,256,294,2
LAHAI,1,1,0,392,716,2
MAJHAKOT,0,161,1,679,518,11
NAYAKWADA,3,140,0,495,407,0
PAINK,6,165,2,222,450,9
PAJARU,1,4,0,574,659,6
PUNAMA,3,14,1,503,966,8
RAGDA,62,0,0,219,489,2
RAMIDANDA,270,2,0,68,101,4
ROKAYAGAUN,1,0,0,218,350,3
SAKALA,1,13,3,400,610,4
SALMA,2,3,0,672,368,3
SIMA,0,35,0,450,453,1
SUWANAULI,1,0,1,217,296,1
TALEGAUN,3,2,2,231,305,0
THALA RAIKAR,1,2,0,209,572,4
TOTAL,1225,713,41,12545,15827,117
