VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARCHHANI,651,4,0,2
BHAGAWATI TOL,611,3,0,7
BHOOR,1108,13,0,10
DAHA,848,6,0,9
DANDAGAUN,1226,23,0,4
DASERA,1378,53,0,1
DHIME,1274,20,0,17
GARKHAKOT,984,3,2,0
JAGATIPUR,1422,13,0,6
JHAPRA,981,4,0,1
JUNGA THAPACHAUR,803,19,1,6
KARKIGAUN,1128,8,0,7
KHAGENKOT,930,17,2,14
KHALANGA,2270,236,8,9
KORTRANG,538,12,0,2
LAHAI,1086,22,0,4
MAJHAKOT,1365,4,0,1
NAYAKWADA,1040,5,0,0
PAINK,845,6,0,3
PAJARU,1224,9,0,11
PUNAMA,1479,10,0,6
RAGDA,737,21,1,13
RAMIDANDA,436,6,0,3
ROKAYAGAUN,567,4,0,1
SAKALA,1021,2,0,8
SALMA,1033,14,0,1
SIMA,905,30,0,4
SUWANAULI,512,0,0,4
TALEGAUN,538,3,0,2
THALA RAIKAR,780,8,0,0
TOTAL,29720,578,14,156
