VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARCHHANI,439,83,133,2
BHAGAWATI TOL,330,104,186,1
BHOOR,817,120,193,1
DAHA,646,160,51,6
DANDAGAUN,596,303,350,4
DASERA,238,482,704,8
DHIME,956,43,302,10
GARKHAKOT,742,103,138,6
JAGATIPUR,1123,26,290,2
JHAPRA,383,234,366,3
JUNGA THAPACHAUR,502,160,166,1
KARKIGAUN,521,153,467,2
KHAGENKOT,601,108,251,3
KHALANGA,938,432,1145,8
KORTRANG,323,129,98,2
LAHAI,666,134,310,2
MAJHAKOT,218,712,429,11
NAYAKWADA,762,131,152,0
PAINK,473,102,270,9
PAJARU,930,136,172,6
PUNAMA,1006,56,425,8
RAGDA,621,36,113,2
RAMIDANDA,65,319,57,4
ROKAYAGAUN,442,58,69,3
SAKALA,794,95,138,4
SALMA,446,183,416,3
SIMA,431,425,82,1
SUWANAULI,280,80,155,1
TALEGAUN,356,25,162,0
THALA RAIKAR,464,183,137,4
TOTAL,17109,5315,7927,117
