VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARCHALBOT,239,301,197,222,34,67,8,12
BAHUNDANDA,370,409,274,303,95,103,1,3
BANJHAKHET,507,573,387,371,110,187,10,15
BAGLUNGPANI,440,576,369,390,67,181,4,5
BANGRE,322,365,271,251,47,109,4,5
BANSAR,487,514,378,323,107,184,2,7
BESISHAHAR,2899,3012,2498,2308,359,644,42,60
BHALAYAKHARKA,341,415,288,287,49,120,4,8
BHARTE,349,436,301,329,46,100,2,7
BHOJE,368,425,287,268,78,150,3,7
BHORLETAR,818,882,669,611,129,240,20,31
BHOTE ODAR,1439,1477,1250,1135,162,311,27,31
BHUJUNG,281,351,236,218,45,133,0,0
BHULBHULE,489,608,388,409,98,189,3,10
BICHAUR,331,396,278,285,49,102,4,9
CHAKRATIRTHA,906,1119,781,799,120,317,5,3
CHANDISTHAN,342,338,281,244,47,89,14,5
CHANDRESHWOR,304,371,243,245,55,117,6,9
CHITI,887,1020,736,743,140,267,11,10
DHAMILIKUWA,754,944,610,633,142,307,2,4
DHODENI,551,598,388,356,160,238,3,4
DHUSENI,209,269,185,196,19,65,5,8
DUDHPOKHARI,384,427,299,278,77,144,8,5
DURADANDA,280,317,240,245,39,65,1,7
FALENI,261,300,196,189,63,108,2,3
GAUNDA,469,540,359,367,89,153,21,20
GAUNSHAHAR,1119,1263,960,932,151,312,8,19
GHANPOKHARA,537,625,406,401,114,195,17,29
GHERMU,271,340,218,242,50,94,3,4
GILUNNG,252,312,186,211,66,101,0,0
HILETAKSAR,286,379,219,259,59,105,8,15
ILAMPOKHARI,490,578,351,366,115,176,24,36
ISHANESHWOR,519,582,420,427,78,109,21,46
JITA,360,408,316,295,43,111,1,2
KARAPU,361,403,285,282,76,120,0,1
KHUDI,621,753,511,529,109,223,1,1
KOLKI,260,328,160,175,95,148,5,5
KUNCHHA,308,348,260,254,47,92,1,2
MALING,193,245,147,163,41,76,5,6
MOHORIYAKOT,382,480,328,359,48,112,6,9
NALMA,359,362,291,247,65,113,3,2
NAUTHAR,367,485,285,344,71,111,11,30
NETA,299,370,249,270,49,98,1,2
PACHOK,450,508,351,340,89,159,10,9
PAREWADANDA,437,542,373,390,63,151,1,1
PASAGAUN,278,382,240,269,29,91,9,22
PURANKOT,189,208,148,134,39,71,2,3
PYARJUNG,298,358,238,237,55,117,5,4
RAMGHA,556,674,458,453,82,203,16,18
SAMIBHANJYANG,240,286,176,194,62,92,2,0
SHREE BHANJYANG,284,331,209,239,71,90,4,2
SIMPANI,542,686,456,473,83,212,3,1
SINDURE,213,307,146,200,49,78,18,29
SUNDARBAZAR,1228,1372,1040,1025,172,333,16,14
SURYAPAL,271,330,236,226,33,98,2,6
TAGHRING,439,507,298,321,132,181,9,5
TANGRANG TAKSAR,418,523,350,356,67,165,1,2
TARKU,284,323,237,225,41,90,6,8
TARKUGHAT,483,596,405,439,77,150,1,7
UDIPUR,465,533,392,363,65,149,8,21
UTTAR KANYA,186,221,145,149,34,59,7,13
INSTITUTIONAL,671,119,246,105,424,14,1,0
