VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ARCHALBOT,376,0,24,0,20,4,0,0
BAHUNDANDA,457,1,15,0,3,2,1,1
BANJHAKHET,596,2,40,0,79,0,0,1
BAGLUNGPANI,588,0,15,0,1,0,0,5
BANGRE,396,1,6,0,1,2,0,2
BANSAR,526,4,32,0,8,0,0,2
BESISHAHAR,537,28,3560,3,130,1,9,23
BHALAYAKHARKA,443,0,28,1,76,0,0,1
BHARTE,530,0,18,0,36,0,0,0
BHOJE,474,0,0,0,0,0,0,2
BHORLETAR,623,0,289,1,113,0,2,5
BHOTE ODAR,523,5,1351,1,179,1,3,11
BHUJUNG,345,1,1,0,0,1,0,5
BHULBHULE,656,2,43,0,9,0,0,2
BICHAUR,497,2,3,1,8,0,0,0
CHAKRATIRTHA,688,5,105,1,451,1,0,2
CHANDISTHAN,361,1,46,1,81,0,0,2
CHANDRESHWOR,423,3,27,0,88,0,0,5
CHITI,915,5,101,6,266,3,1,2
DHAMILIKUWA,609,1,53,1,485,3,0,2
DHODENI,538,4,6,0,4,0,0,1
DHUSENI,206,0,8,0,96,1,0,0
DUDHPOKHARI,466,0,1,0,2,0,0,1
DURADANDA,363,1,24,0,128,3,0,0
FALENI,279,4,0,0,1,0,0,0
GAUNDA,601,2,9,0,0,4,0,0
GAUNSHAHAR,1186,11,296,1,256,0,0,7
GHANPOKHARA,638,3,4,0,0,0,0,3
GHERMU,386,0,14,0,0,0,0,2
GILUNNG,405,0,3,4,1,0,0,1
HILETAKSAR,401,1,8,0,3,0,0,0
ILAMPOKHARI,574,3,1,0,29,0,0,1
ISHANESHWOR,499,1,87,5,165,0,1,6
JITA,526,0,4,2,46,0,0,0
KARAPU,495,2,6,4,10,0,0,0
KHUDI,632,2,158,1,33,0,0,0
KOLKI,369,2,0,0,14,0,0,0
KUNCHHA,437,1,31,1,41,1,0,2
MALING,303,3,0,1,0,0,0,1
MOHORIYAKOT,517,9,11,1,25,0,2,6
NALMA,412,0,9,0,17,0,0,0
NAUTHAR,453,1,33,0,42,0,0,1
NETA,340,2,29,0,45,0,0,0
PACHOK,533,0,13,0,15,0,0,0
PAREWADANDA,393,6,39,1,266,1,0,0
PASAGAUN,382,0,0,0,0,0,0,0
PURANKOT,288,0,0,0,13,0,0,0
PYARJUNG,433,0,8,0,2,0,0,9
RAMGHA,613,0,83,0,99,0,0,0
SAMIBHANJYANG,299,0,2,0,7,0,0,1
SHREE BHANJYANG,422,0,13,0,35,1,0,2
SIMPANI,650,2,74,2,90,0,0,2
SINDURE,307,0,2,0,1,0,0,1
SUNDARBAZAR,597,19,882,4,260,11,2,20
SURYAPAL,348,1,31,0,67,0,0,2
TAGHRING,468,0,53,0,0,0,0,0
TANGRANG TAKSAR,479,2,81,13,40,2,0,2
TARKU,326,2,33,1,61,0,0,0
TARKUGHAT,394,1,51,1,322,1,0,2
UDIPUR,461,3,125,1,94,10,0,4
UTTAR KANYA,273,0,8,0,0,0,0,0
TOTAL,29255,149,7997,59,4364,53,21,150
