VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ALAMADEVI,864,38,1,2,2,1
ARJUN CHAUPARI,1413,86,2,0,0,5
ARUCHAUR,717,41,1,1,0,0
ARUKHARKA,830,31,0,2,14,1
BAGEFADKE,269,12,0,0,0,0
BAHAKOT,431,17,0,0,0,0
BENETHOK DEURALI,483,261,0,115,4,1
BHATKHOLA,414,34,0,0,1,1
BICHARI CHAUTARA,529,34,0,0,0,0
BIRGHA,1075,101,0,1,0,3
BIRUWA ARCHALE,566,100,2,1,4,1
CHANDI BHANJYANG,553,149,0,188,1,0
CHAPAKOT,1031,46,6,1,0,3
CHHANGCHHANGDI,624,22,2,1,0,3
CHILAUNEBAS,634,28,0,0,0,0
CHINNEBAS,404,514,0,91,46,4
MAGYAM CHISAPANI,926,20,0,2,3,2
CHITRE BHANJYANG,770,28,11,4,0,0
DARSING DAHATHUM,1609,44,7,1,0,10
DHAPUK SIMAL BHANJYANG,710,107,2,16,0,0
FAPARTHUM,560,41,1,0,1,0
FEDIKHOLA,1570,71,1,0,1,2
JAGAT BHANJYANG,767,15,0,0,7,2
JAGATRADEVI,2006,21,15,0,2,6
KALIKAKOT,376,396,6,131,4,0
KOLMA BARAHACHAUR,405,37,1,0,0,0
KEWARE BHANJYANG,653,28,1,0,0,2
KHILUNG DEURALI,983,59,4,0,1,3
KICHANASH,1052,79,4,9,4,5
KUWAKOT,880,18,1,2,6,0
KYAKMI,6,437,8,546,183,14
MAJHAKOT SIVALAYA,17,230,1,104,2,3
MALUNGA,672,6,0,0,0,0
MALYANGKOT,647,319,0,114,16,6
MANAKAMANA,50,710,2,218,11,6
NIBUWAKHARKA,779,10,1,0,0,0
ORASTE,817,20,4,0,0,4
PAKWADI,1226,49,2,2,3,2
PANCHAMUL,1001,77,0,0,1,0
PAUWEGAUDE,728,76,1,0,0,0
PELAKOT,1189,24,4,1,2,0
PELKACHAUR,408,27,2,0,1,1
PIDIKHOLA,1008,100,6,1,1,3
PUTALIBAZAR MUNICIPALITY,7826,299,17,4,17,17
RANGVANG,640,37,2,1,6,1
RAPAKOT,797,97,0,2,2,6
RATNAPUR,876,25,4,1,2,0
SAKHAR,363,257,5,265,159,6
DARAU,538,33,1,10,0,0
SEKHAM,603,241,4,76,0,0
SETIDOBHAN,722,53,0,0,1,4
SHREEKRISHNA GANDAKI,1936,42,7,0,5,3
SIRSEKOT,776,11,0,0,2,3
SWOREK,1168,28,0,0,1,0
TAKSAR,393,96,0,35,5,0
THULADIHI,822,50,1,0,0,1
THUMPOKHARA,1163,44,1,0,0,12
TINDOBATE,964,22,5,0,1,2
TULSIBHANJYANG,956,3,0,0,1,1
WALING MUNICIPALITY,5736,156,25,2,8,25
BANGSING DEURALI,593,29,0,0,1,1
YALADI,52,257,1,104,3,0
TOTAL,59576,6343,172,2054,535,176
