VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ALAMADEVI,4,570,333,1
ARJUN CHAUPARI,269,807,425,5
ARUCHAUR,79,547,134,0
ARUKHARKA,71,665,141,1
BAGEFADKE,7,212,62,0
BAHAKOT,23,329,96,0
BENETHOK DEURALI,6,257,600,1
BHATKHOLA,27,344,78,1
BICHARI CHAUTARA,84,315,164,0
BIRGHA,138,456,583,3
BIRUWA ARCHALE,23,295,355,1
CHANDI BHANJYANG,11,607,273,0
CHAPAKOT,184,535,365,3
CHHANGCHHANGDI,55,332,262,3
CHILAUNEBAS,9,239,414,0
CHINNEBAS,298,441,316,4
MAGYAM CHISAPANI,227,345,379,2
CHITRE BHANJYANG,36,279,498,0
DARSING DAHATHUM,100,1109,452,10
DHAPUK SIMAL BHANJYANG,25,329,481,0
FAPARTHUM,58,436,109,0
FEDIKHOLA,237,1190,217,1
JAGAT BHANJYANG,27,397,365,2
JAGATRADEVI,60,1305,680,5
KALIKAKOT,12,275,626,0
KOLMA BARAHACHAUR,53,280,110,0
KEWARE BHANJYANG,10,200,472,2
KHILUNG DEURALI,169,551,327,3
KICHANASH,90,742,316,5
KUWAKOT,112,366,429,0
KYAKMI,135,345,700,14
MAJHAKOT SIVALAYA,8,119,227,3
MALUNGA,23,341,314,0
MALYANGKOT,30,656,410,6
MANAKAMANA,287,197,507,6
NIBUWAKHARKA,26,256,508,0
ORASTE,71,546,224,4
PAKWADI,388,522,373,1
PANCHAMUL,227,662,190,0
PAUWEGAUDE,110,523,172,0
PELAKOT,99,650,471,0
PELKACHAUR,58,259,121,1
PIDIKHOLA,145,283,688,3
PUTALIBAZAR MUNICIPALITY,779,6151,1235,15
RANGVANG,137,266,283,1
RAPAKOT,239,419,241,5
RATNAPUR,155,430,323,0
SAKHAR,224,302,522,7
DARAU,6,384,192,0
SEKHAM,109,272,543,0
SETIDOBHAN,109,494,173,4
SHREEKRISHNA GANDAKI,118,1002,870,3
SIRSEKOT,81,169,540,2
SWOREK,208,391,598,0
TAKSAR,5,325,199,0
THULADIHI,99,550,224,1
THUMPOKHARA,128,363,717,12
TINDOBATE,229,436,327,2
TULSIBHANJYANG,91,549,320,1
WALING MUNICIPALITY,295,4154,1476,27
BANGSING DEURALI,10,384,230,0
YALADI,19,74,324,0
TOTAL,7152,37229,24304,171
