VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AGRAGAUN,170,0,0,38,217,84,0,0
AWALCHING,340,0,0,0,28,1,10,7
BABIYACHAUR,1263,17,1,82,236,26,0,7
BAJEDICHAUR,421,1,0,1,397,40,1,4
BETAN,109,1,5,23,294,39,36,6
BIDYAPUR,803,2,0,43,404,34,8,16
BIJAURA,448,1,84,278,218,3,1,3
BIRENDRANAGAR MUNICIPALITY,10258,254,446,196,262,10,524,79
CHAPRE,322,0,1,29,252,4,0,9
CHHINCHU,1645,21,106,678,487,4,1,14
DAHACHAUR,586,18,18,2,51,5,0,2
DANDAKHALI,165,0,1,13,345,14,2,1
DASARATHPUR,1163,1,0,5,31,6,0,15
DHARAPANI,457,0,2,40,44,4,0,5
GADI BAYALKADA,537,0,3,81,53,7,3,1
GARPAN,377,2,0,11,21,0,3,1
GHAT GAUN,249,85,2,238,133,232,2,11
GHORETA,224,4,0,0,267,28,0,7
GHUMKHAHARE,853,0,4,21,118,8,2,4
GUMI,1449,3,2,41,75,4,1,10
GUTHU,456,2,1,85,825,31,4,18
HARIHARPUR,219,0,33,134,242,321,0,5
JARBUTA,1430,5,19,51,193,68,65,6
KAFALKOT,265,0,25,28,260,0,1,5
KALYAN,638,0,3,39,418,149,18,6
KAPRICHAUR,405,1,44,1,112,26,1,8
KHANIKHOLLA,352,1,0,16,162,134,0,2
KUNATHARI,1036,0,23,128,380,72,0,1
LAGAAM,180,0,2,36,282,175,3,7
LATIKOILI,2220,152,898,873,97,1,60,29
LEKHFARSA,1187,1,0,5,91,4,7,6
LEKHGAUN,335,1,10,116,452,65,0,10
LEKHPARAJUL,217,3,20,517,721,155,3,13
MAINTADA,378,2,53,705,1123,349,4,8
MALARANI,658,0,0,66,320,39,0,9
MATELA,782,0,0,17,210,9,0,3
MEHELKUNA,603,14,101,382,734,462,3,9
NETA,512,0,8,56,55,11,2,3
PAMKA,348,1,14,21,5,0,0,0
POKHARIKANDA,435,0,4,87,305,22,0,7
RAJENA,450,0,0,14,66,20,0,6
RAKAM,676,1,0,0,25,94,0,4
RAMGHAT,1283,0,0,15,244,52,0,4
RANIBAS,315,1,2,62,168,20,0,3
RATU,291,0,0,17,7,1,16,1
SAHARE,1455,6,55,96,695,16,8,12
SALKOT,1341,1,32,45,192,9,0,16
SATAKHANI,1687,2,1,23,129,46,0,18
TARANGA,161,66,57,279,152,288,0,2
TATOPANI,249,5,58,195,492,105,0,5
UTTARGANGA,1973,640,417,710,294,5,15,27
TOTAL,44376,1315,2555,6639,13384,3302,804,455
