VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAGESWORI,305,428,334,6
BALKUMARI,358,74,59,5
BARSUNCHET,95,7,16,0
BELKOT,683,499,361,6
BETINI,513,69,283,8
BHADRUTAR,219,229,253,4
BHALCHE,587,104,52,11
BIDUR MUNICIPALITY,777,4644,790,59
BUDHASING,99,358,205,15
BUNGTANG,255,170,173,1
CHARGHARE,298,697,192,3
CHATURALE,445,191,56,16
CHAUGHADA,444,637,79,4
CHAUTHE,282,241,162,12
CHHAP,260,52,113,23
DANGSING,311,153,159,2
DEURALI,430,224,349,2
DUIPIPAL,690,663,206,10
FIKURI,169,297,161,9
GANESHTHAN,274,308,210,15
GAUNKHARKA,423,49,155,1
GERKHU,410,890,118,3
GHYANGPHEDI,472,96,15,21
GORSYANG,324,226,221,1
JILING,492,395,374,10
KABILAS,323,375,145,20
KAKANI,719,415,242,14
HALDE KALIKA,351,231,165,6
KALYANPUR,478,449,305,11
KAULE,342,236,157,4
KHADAG BHANJYANG,436,547,415,14
KHARANITAR,160,184,30,1
KHANIGAUN,273,849,82,6
KIMTANG,271,138,39,11
KUMARI,731,357,499,31
LACHYANG,719,45,109,3
LIKHU,308,124,120,5
MADANPUR,871,603,249,15
MAHAKALI,420,155,210,3
MANAKAMANA,269,367,144,9
NARJAMANDAP,562,359,77,14
OKHARPAUWA,903,231,349,27
PANCHAKANYA,243,244,56,1
RALUKADEVI,418,227,271,0
RATMATE,263,498,59,2
RAUTBESI,260,72,318,4
SALME,330,22,68,2
SAMARI,532,393,273,9
SAMUNDRADEVI,336,83,280,1
SAMUNDRATAR,94,216,137,3
SHIKHARBESI,397,99,249,1
SIKRE,163,57,149,1
SUNDARADEVI,246,162,103,0
SUNKHANI,274,123,135,1
SURYAMATI,138,67,480,7
TALAKHU,477,105,104,2
TARUKA,404,444,272,7
THANAPATI,299,217,109,1
THANSING,387,629,366,6
THAPREK,218,296,245,1
TUPCHE,200,997,71,11
URLENI,643,33,89,3
TOTAL,24073,22350,12267,504
