VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BAGESWORI,982,63,0,0,22,6
BALKUMARI,471,19,1,0,0,5
BARSUNCHET,111,7,0,0,0,0
BELKOT,1309,187,4,43,0,6
BETINI,695,67,4,4,95,8
BHADRUTAR,596,105,0,0,0,4
BHALCHE,560,106,0,16,61,11
BIDUR MUNICIPALITY,6001,158,23,5,23,60
BUDHASING,597,60,0,5,0,15
BUNGTANG,479,118,0,1,0,1
CHARGHARE,1154,29,0,0,4,3
CHATURALE,615,77,0,0,0,16
CHAUGHADA,1040,116,1,2,1,4
CHAUTHE,601,74,2,7,0,13
CHHAP,200,217,0,5,9,17
DANGSING,405,183,5,30,0,2
DEURALI,911,90,0,0,2,2
DUIPIPAL,1199,302,2,43,13,10
FIKURI,591,32,3,1,0,9
GANESHTHAN,700,88,3,1,0,15
GAUNKHARKA,478,134,0,15,0,1
GERKHU,1371,31,1,0,15,3
GHYANGPHEDI,12,520,0,33,18,21
GORSYANG,662,104,2,0,1,3
JILING,1200,57,0,4,0,10
KABILAS,711,131,0,1,0,20
KAKANI,1273,88,3,9,2,15
HALDE KALIKA,679,63,1,0,4,6
KALYANPUR,1153,66,0,0,13,11
KAULE,665,60,1,0,9,4
KHADAG BHANJYANG,1246,143,3,0,6,14
KHARANITAR,357,16,0,0,1,1
KHANIGAUN,1095,106,2,0,1,6
KIMTANG,386,42,1,4,14,12
KUMARI,373,779,3,427,5,31
LACHYANG,749,99,0,2,23,3
LIKHU,528,21,2,1,0,5
MADANPUR,1573,147,0,1,1,16
MAHAKALI,302,403,2,76,2,3
MANAKAMANA,743,28,4,1,4,9
NARJAMANDAP,833,161,0,1,2,15
OKHARPAUWA,1358,118,1,6,0,27
PANCHAKANYA,472,70,0,0,1,1
RALUKADEVI,771,143,1,0,1,0
RATMATE,755,55,6,4,0,2
RAUTBESI,611,35,2,2,0,4
SALME,91,262,0,3,65,1
SAMARI,1146,37,0,2,11,11
SAMUNDRADEVI,514,177,0,8,0,1
SAMUNDRATAR,434,12,1,0,0,3
SHIKHARBESI,651,89,0,0,5,1
SIKRE,85,278,0,6,0,1
SUNDARADEVI,474,35,2,0,0,0
SUNKHANI,343,132,1,46,10,1
SURYAMATI,658,26,0,1,0,7
TALAKHU,225,338,5,117,1,2
TARUKA,845,269,1,5,0,7
THANAPATI,590,34,0,1,0,1
THANSING,1280,100,0,1,1,6
THAPREK,651,101,2,5,0,1
TUPCHE,1206,54,5,1,2,11
URLENI,364,180,0,2,221,1
TOTAL,49130,7842,100,948,669,505
