VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BAGESWORI,217,851,629,349,61,21,1,8,739,2,33,4,2,11,5
BALKUMARI,59,431,404,67,11,0,0,8,154,1,4,0,0,1,6
BARSUNCHET,37,75,62,35,0,0,0,2,43,0,0,0,0,0,6
BELKOT,153,1320,1050,457,95,31,12,26,1107,7,58,10,2,17,76
BETINI,277,586,516,24,1,0,0,2,324,0,3,0,0,0,10
BHADRUTAR,122,573,440,194,1,2,1,2,424,1,7,3,0,0,10
BHALCHE,321,423,226,154,0,3,0,2,294,0,2,2,0,0,10
BIDUR MUNICIPALITY,406,5687,2561,2951,2737,761,210,946,4898,123,1110,335,19,674,177
BUDHASING,81,589,492,190,38,2,3,9,439,1,3,1,0,4,7
BUNGTANG,98,488,327,242,41,4,1,22,335,0,6,1,1,3,13
CHARGHARE,137,1042,749,514,57,14,2,19,776,1,35,6,1,9,11
CHATURALE,124,570,439,231,6,7,2,6,470,1,13,0,0,1,14
CHAUGHADA,84,938,614,483,48,11,2,11,716,3,53,10,0,10,142
CHAUTHE,63,627,514,222,17,4,1,7,484,4,26,4,0,2,7
CHHAP,160,271,232,11,0,0,0,3,159,0,0,0,0,0,17
DANGSING,93,524,501,107,0,2,0,1,341,0,1,0,0,1,8
DEURALI,199,778,471,539,2,6,0,9,420,0,15,0,2,9,28
DUIPIPAL,161,1345,1114,356,126,12,0,59,1043,5,31,7,0,14,63
FIKURI,66,546,361,267,34,10,2,2,361,1,12,4,1,0,24
GANESHTHAN,77,705,496,233,24,7,2,15,539,1,30,5,0,14,25
GAUNKHARKA,173,452,349,30,0,1,0,0,280,0,2,0,0,0,3
GERKHU,115,1231,921,689,272,45,17,108,887,14,80,26,1,40,75
GHYANGPHEDI,246,320,262,4,0,0,0,4,153,0,0,0,0,0,38
GORSYANG,98,642,483,157,1,2,0,3,403,0,13,2,0,3,32
JILING,58,1123,978,308,33,27,6,29,914,2,26,6,1,2,90
KABILAS,145,679,552,178,63,13,1,57,524,1,19,10,2,3,39
KAKANI,105,1256,935,704,150,47,16,62,913,15,85,15,2,48,29
HALDE KALIKA,137,598,410,187,1,3,0,6,484,3,3,1,0,1,18
KALYANPUR,192,1024,687,499,114,18,7,33,733,1,33,4,0,9,27
KAULE,125,585,409,330,14,8,0,7,478,0,12,1,0,1,29
KHADAG BHANJYANG,307,1089,837,512,118,22,3,42,879,2,46,35,1,21,16
KHARANITAR,10,331,259,147,7,8,1,44,246,0,9,4,1,8,34
KHANIGAUN,127,1061,752,644,211,58,16,11,854,20,114,66,0,31,22
KIMTANG,91,357,283,198,0,2,0,16,248,2,2,1,0,1,11
KUMARI,276,1284,1071,206,6,5,1,16,1023,7,13,8,3,0,58
LACHYANG,366,498,341,55,3,2,0,3,372,0,3,0,0,1,12
LIKHU,156,396,297,48,0,1,0,4,321,0,1,0,0,0,5
MADANPUR,150,1469,1054,469,35,23,5,26,1280,11,38,6,3,22,119
MAHAKALI,221,561,372,36,1,2,1,3,443,0,0,0,0,0,6
MANAKAMANA,135,597,267,285,129,8,2,6,480,0,7,1,1,1,57
NARJAMANDAP,178,741,572,291,48,10,2,26,555,1,21,6,1,4,93
OKHARPAUWA,200,1259,940,848,66,25,7,16,789,16,87,22,0,23,51
PANCHAKANYA,78,451,392,56,30,2,1,4,319,3,4,3,0,1,15
RALUKADEVI,133,777,702,166,0,1,0,2,451,0,4,2,0,1,6
RATMATE,130,690,517,224,26,7,0,10,522,1,35,18,0,15,2
RAUTBESI,84,556,540,34,9,2,0,1,187,0,0,0,0,1,14
SALME,174,247,142,47,0,0,0,2,208,0,1,0,0,0,1
SAMARI,205,966,805,521,51,16,5,65,556,5,23,0,0,14,36
SAMUNDRADEVI,134,549,460,34,2,0,0,4,358,3,6,0,0,0,17
SAMUNDRATAR,51,399,347,155,24,8,1,16,225,0,10,0,1,4,0
SHIKHARBESI,91,557,443,33,2,1,0,4,337,0,0,0,0,0,98
SIKRE,80,290,243,4,0,0,0,0,159,0,0,0,0,0,0
SUNDARADEVI,111,400,373,144,7,12,2,27,263,1,11,3,0,4,0
SUNKHANI,27,498,467,55,0,1,1,3,318,0,14,3,0,0,8
SURYAMATI,113,577,545,267,2,4,0,4,327,0,9,5,0,0,2
TALAKHU,176,505,484,24,0,0,0,9,292,1,15,0,1,0,7
TARUKA,85,971,754,204,47,4,97,18,787,1,1,0,0,0,71
THANAPATI,117,500,417,243,5,5,1,4,401,1,9,3,0,2,9
THANSING,143,1214,903,729,82,20,4,38,1043,2,50,8,1,5,31
THAPREK,84,660,561,154,31,8,0,9,376,0,8,3,0,0,16
TUPCHE,158,1085,588,610,345,63,3,20,844,3,46,6,0,26,36
URLENI,229,448,364,36,0,0,4,7,285,1,2,0,0,0,91
