VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ATARPUR,458,4,1,0,0,1
BADEGAU,1141,1,0,1,0,17
BANSBARI,1024,60,14,0,1,3
BANSKHARKA,511,3,0,70,0,4
BARAMCHI,691,10,1,0,0,3
BARHABISE,1295,293,66,26,0,3
BARUWA,480,5,1,0,0,1
BATASE,1133,3,1,1,0,14
BHIMTAR,871,14,5,0,0,2
BHOTASIPA,983,5,0,0,0,6
BHOTE NAMLANG,778,0,3,4,0,7
BHOTECHAUR,1043,9,5,1,0,16
CHOKATI,623,2,0,2,0,0
CHAUTARA,848,277,435,8,0,50
DHUMTHANG,844,0,0,0,0,7
DUBACHOUR,1358,7,1,1,0,8
FATAKSHILA,865,20,0,1,0,8
FULPINGDANDA,1011,31,2,1,0,9
FULPINGKATTI,580,127,17,54,2,3
FULPINGKOT,890,5,1,0,1,7
GATI,717,19,3,131,0,4
GHORTHALI,461,1,0,3,0,0
DHUSKUN,747,11,0,0,0,1
GLOCHE,728,0,1,0,0,2
GUMBA,673,0,0,0,0,1
GUNSAKOT,434,8,1,0,0,6
HAGAM,800,1,0,0,0,17
HAIBUNG,565,3,1,3,0,4
HELAMBU,637,13,3,2,0,1
ICHOK,1256,6,0,2,0,6
IRKHU,725,9,5,5,0,7
JALBIRE,520,28,59,2,0,2
JETHAL,549,65,1,2,0,3
JYAMIRE,1196,1,1,0,0,1
KADAMBAS,795,26,7,1,0,5
KALIKA,541,3,0,0,0,1
KARTHALI,795,23,7,4,1,6
KIWOOL,753,3,2,2,0,4
KUBHINDE,682,2,2,0,2,5
KUNCHOK,918,4,2,1,0,2
LANGARCHE,591,1,0,0,0,0
LISANKHU,923,2,1,7,0,5
LISTIKOT,915,2,1,19,7,5
MAHANKAL,967,34,5,10,0,8
MANESWNARA,766,11,3,0,1,8
MANKHA,1455,359,23,4,3,16
MARMING,663,28,2,4,2,19
MELAMCHI,1010,62,92,4,1,10
BHOTANG,608,2,0,2,1,11
NAWALPUR,766,10,13,7,0,1
PAGRETAR,651,98,4,0,0,9
PALCHOK,478,4,0,3,0,4
PANGTANG,447,32,0,1,0,7
PETAKU,384,3,2,0,0,2
PIPALDANDA,778,6,2,1,0,0
PISKAR,534,1,1,0,0,2
RAMCHE,679,63,250,1,0,6
SANGACHOK,1947,97,51,6,0,27
SANUSIRUWARI,735,4,20,1,1,18
SELANG,519,0,1,1,0,5
SIKHARPUR,564,11,1,2,0,5
SINDHUKOT,670,0,0,1,0,10
SIPA POKHARE,812,8,1,3,0,9
SIPAL KAVRE,597,0,0,4,0,7
SUNKHANI,619,0,0,0,0,7
SYAULE BAZAR,808,15,2,1,0,7
TALAMARANG,692,4,17,1,0,2
TATOPANI,706,636,151,212,9,19
TAUTHALI,767,6,0,1,0,2
TEKANPUR,409,10,0,2,0,1
THAKANI,703,10,0,4,0,1
THAMPAL CHHAP,794,1,1,1,0,25
THANGPALKOT,634,7,6,2,1,3
THOKARPA,1025,3,0,0,0,8
THULO DHADING,500,0,1,2,0,6
THULO PAKHAR,713,39,3,1,0,2
THULO SIRUBARI,1309,1,8,3,0,10
THUM PAKHAR,929,35,12,11,1,9
YAMUNADANDA,391,1,0,1,0,0
TOTAL,61377,2708,1322,651,34,543
