VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ATARPUR,164,103,195,2
BADEGAU,473,264,407,16
BANSBARI,469,389,241,3
BANSKHARKA,253,134,201,0
BARAMCHI,295,230,177,3
BARHABISE,467,896,314,6
BARUWA,210,35,242,0
BATASE,335,458,356,3
BHIMTAR,344,417,130,1
BHOTASIPA,412,312,266,4
BHOTE NAMLANG,503,96,187,6
BHOTECHAUR,332,296,434,12
CHOKATI,272,98,257,0
CHAUTARA,155,1101,326,36
DHUMTHANG,536,164,150,1
DUBACHOUR,630,201,538,6
FATAKSHILA,483,199,205,7
FULPINGDANDA,369,484,196,5
FULPINGKATTI,406,154,219,4
FULPINGKOT,265,438,195,6
GATI,609,121,142,2
GHORTHALI,274,132,59,0
DHUSKUN,110,355,294,0
GLOCHE,637,19,73,2
GUMBA,643,13,17,1
GUNSAKOT,331,53,60,5
HAGAM,527,143,136,12
HAIBUNG,281,88,203,4
HELAMBU,134,44,477,1
ICHOK,400,207,654,9
IRKHU,341,182,221,7
JALBIRE,106,296,208,1
JETHAL,112,357,149,2
JYAMIRE,378,346,473,2
KADAMBAS,224,334,270,6
KALIKA,163,298,83,1
KARTHALI,236,171,423,6
KIWOOL,88,73,599,4
KUBHINDE,60,529,100,4
KUNCHOK,415,275,235,2
LANGARCHE,237,254,101,0
LISANKHU,429,285,221,3
LISTIKOT,628,173,143,5
MAHANKAL,328,253,438,5
MANESWNARA,233,314,237,5
MANKHA,571,896,383,10
MARMING,399,262,55,2
MELAMCHI,356,564,254,5
BHOTANG,255,58,311,0
NAWALPUR,343,221,233,0
PAGRETAR,150,512,97,3
PALCHOK,194,84,209,2
PANGTANG,350,69,66,2
PETAKU,23,239,128,1
PIPALDANDA,218,284,285,0
PISKAR,269,73,196,0
RAMCHE,152,558,283,6
SANGACHOK,481,1318,308,21
SANUSIRUWARI,140,402,221,16
SELANG,185,145,192,4
SIKHARPUR,269,220,92,2
SINDHUKOT,224,160,292,5
SIPA POKHARE,168,343,315,7
SIPAL KAVRE,324,46,235,3
SUNKHANI,125,160,341,0
SYAULE BAZAR,309,215,305,4
TALAMARANG,224,283,207,2
TATOPANI,640,573,512,8
TAUTHALI,280,305,188,3
TEKANPUR,52,277,93,0
THAKANI,438,177,103,0
THAMPAL CHHAP,250,318,236,18
THANGPALKOT,167,298,188,0
THOKARPA,59,534,435,8
THULO DHADING,299,87,123,0
THULO PAKHAR,179,510,68,1
THULO SIRUBARI,235,655,432,9
THUM PAKHAR,125,761,100,11
YAMUNADANDA,150,147,96,0
TOTAL,23900,23538,18834,363
