VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ARTHAR DADAKHARKA,654,0,8,28,10,3,0,0
BACHCHHA,442,0,0,0,2,0,0,0
BAHAKI THANTI,374,4,1,0,1,2,0,1
BAJUNG,865,0,1,10,179,17,0,4
BALAKOT,259,0,0,5,2,0,5,1
BANOU,168,0,1,18,161,0,0,1
BASKHARKA,30,0,0,0,223,0,0,1
BEULIBAS,370,1,17,87,54,18,19,0
BHANGARA,311,0,3,25,75,8,19,0
BHOKSING,189,0,0,0,2,3,0,0
BHORLE,422,0,0,0,34,16,0,1
BHUKTANGLE,531,1,0,0,18,24,0,0
BIHADI BARACHAUR,383,0,16,16,57,1,0,4
BIHADI RANIPANI,453,2,13,72,10,0,0,1
BITALAWA PIPALTARI,590,0,0,9,20,3,0,1
CHITRE,401,0,0,1,26,1,0,6
CHUWA,433,0,0,0,0,0,0,0
DEUPURKOT,683,1,0,1,11,4,0,4
DEURALI,479,0,1,1,4,1,0,0
DHAIRING,518,0,3,11,355,2,3,4
DURLUNG,633,1,3,6,91,1,0,1
FALAMKHANI,211,0,0,0,1,0,0,0
FALEBAS DEVISTHAN,692,2,0,1,0,1,0,1
FULEBAS KHANIGAUN,452,0,1,0,12,3,0,5
HOSRANGDI,299,0,7,17,8,0,0,0
HUWAS,975,2,9,6,36,5,0,2
KARKINETA,313,2,13,41,82,0,0,0
KATUWA CHAUPARI,457,0,0,3,23,5,2,0
KHAULA LAKURI,510,0,1,28,12,4,0,0
KHURKOT,904,2,0,3,46,0,3,0
KURGHA,596,0,0,10,47,0,1,1
KYANG,513,0,0,1,3,0,0,0
LEKHFANT,130,0,1,39,491,6,0,0
LIMITHANA,222,0,0,0,148,0,0,1
LUNKHU DEURALI,388,0,1,0,104,13,0,0
MAJHPHANT MALLAJ,1602,1,11,1,472,0,5,8
MUDIKUWA,374,1,0,2,90,0,0,0
NAGLIWANG,641,0,0,14,26,0,0,2
PAKHAPANI,517,1,1,35,5,2,0,0
PAKUWA,545,0,0,1,16,2,0,1
PANG,667,4,2,26,500,0,1,1
PANGRANG,396,0,0,0,62,26,0,0
RAMJA DEURALI,452,0,6,6,17,0,0,5
SALIGRAM,475,0,0,30,66,0,2,5
SALIJA,201,0,1,2,402,5,0,1
SARAUKHOLA,363,0,1,23,71,1,0,0
SHANKAR POKHARI,760,0,19,79,74,28,4,1
SHIVALAYA,3061,0,9,1,276,17,0,14
TAKLAK,303,0,0,7,0,0,1,0
THANA MAULO,327,0,4,6,4,0,0,0
THAPATHANA,484,1,11,21,164,8,0,2
THULI POKHARI,364,0,77,14,212,0,0,2
TILAHAR,1166,0,0,6,27,0,0,2
TRIBENI,408,0,2,20,20,0,0,0
URAMPOKHARA,478,0,0,24,3,0,0,3
TOTAL,29434,26,244,757,4855,230,65,87
