VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARTHAR DADAKHARKA,32,15,17,736,368,368,391,188,203,201,105,96,225,100,125,38,13,25,8,5,3,3,3,0,0,0,0,69,45,24,3,2,1
BACHCHHA,26,16,10,508,252,256,276,133,143,188,91,97,182,93,89,44,22,22,21,17,4,6,6,0,0,0,0,75,21,54,2,2,0
BAHAKI THANTI,34,14,20,332,159,173,224,101,123,151,64,87,246,116,130,66,25,41,15,9,6,9,9,0,0,0,0,36,21,15,7,5,2
BAJUNG,108,59,49,982,454,528,677,274,403,503,273,230,310,149,161,106,54,52,28,23,5,11,9,2,0,0,0,56,37,19,8,5,3
BALAKOT,22,13,9,356,190,166,250,130,120,116,63,53,111,55,56,12,8,4,1,1,0,1,1,0,0,0,0,6,4,2,8,6,2
BANOU,35,15,20,450,237,213,240,100,140,131,70,61,64,34,30,27,16,11,9,7,2,0,0,0,0,0,0,26,2,24,2,1,1
BASKHARKA,20,7,13,220,126,94,139,70,69,70,31,39,81,42,39,11,7,4,3,2,1,2,2,0,0,0,0,3,1,2,1,0,1
BEULIBAS,54,33,21,655,343,312,399,181,218,246,96,150,289,122,167,130,52,78,16,9,7,10,8,2,0,0,0,110,47,63,2,2,0
BHANGARA,34,17,17,451,241,210,282,133,149,166,72,94,154,82,72,42,20,22,15,11,4,3,3,0,0,0,0,27,20,7,5,2,3
BHOKSING,19,9,10,252,122,130,195,104,91,72,35,37,69,40,29,15,10,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BHORLE,11,6,5,602,290,312,403,207,196,212,111,101,139,68,71,56,27,29,14,10,4,6,4,2,0,0,0,0,0,0,7,3,4
BHUKTANGLE,52,35,17,581,297,284,361,177,184,153,73,80,148,84,64,26,15,11,2,1,1,5,4,1,0,0,0,37,26,11,13,7,6
BIHADI BARACHAUR,46,32,14,625,304,321,344,146,198,168,68,100,167,83,84,53,31,22,15,12,3,4,4,0,2,2,0,25,18,7,4,3,1
BIHADI RANIPANI,74,37,37,595,292,303,354,165,189,209,93,116,224,108,116,56,36,20,27,20,7,7,5,2,2,1,1,65,30,35,1,1,0
BITALAWA PIPALTARI,103,64,39,520,255,265,323,152,171,199,89,110,290,148,142,115,66,49,39,28,11,12,10,2,0,0,0,13,8,5,1,1,0
CHITRE,33,14,19,439,225,214,263,108,155,120,74,46,136,65,71,42,26,16,9,7,2,3,2,1,0,0,0,60,21,39,0,0,0
CHUWA,28,14,14,487,238,249,238,105,133,169,84,85,169,76,93,66,37,29,21,13,8,9,9,0,0,0,0,43,26,17,5,4,1
DEUPURKOT,99,65,34,648,332,316,396,191,205,197,75,122,297,148,149,107,50,57,42,28,14,12,10,2,0,0,0,122,58,64,14,14,0
DEURALI,5,3,2,498,247,251,288,141,147,105,47,58,147,72,75,25,12,13,12,9,3,1,1,0,0,0,0,215,77,138,1,0,1
DHAIRING,103,66,37,831,456,375,522,230,292,334,162,172,186,103,83,67,48,19,27,25,2,5,4,1,0,0,0,13,6,7,7,5,2
DURLUNG,27,18,9,778,371,407,401,182,219,280,121,159,191,87,104,60,31,29,22,19,3,6,6,0,2,2,0,81,44,37,3,3,0
