VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BAKU,941,14,1,7
BASA,652,21,3,0
BENI,285,77,4,29
BHAKANJE,226,48,2,9
BUNG,941,35,1,5
CHAULAKHARKA,409,19,1,1
CHAURIKHARKA,509,438,19,2
CHHESKAM,804,4,0,1
DEUSA,851,11,1,12
GARMA,364,96,11,1
GOLI,416,14,5,18
GORAKHANI,313,11,3,1
GUDEL,861,2,1,5
JUBING,689,71,9,0
JUBU,770,11,1,44
KAKU,803,21,1,4
KANGEL,423,12,0,4
KHUMJUNG,431,113,6,1
KERUNG,800,52,6,15
TAMAKHANI,227,10,2,1
LOKHIM,723,20,0,5
PAWAI,527,20,1,2
MUKALI,484,9,0,42
NAMCHE,317,153,8,2
NECHA BATASE,736,7,0,24
NECHA BEDGHARI,788,32,0,18
NELE,448,29,2,5
PANCHAN,320,5,0,8
SALLERI,953,649,35,45
SALYAN,1098,34,2,3
SOTANG,1234,44,1,9
TAKASINDU,398,89,22,1
TAPTING,435,29,0,16
TINGLA,819,38,2,35
TOTAL,20995,2238,150,375
