VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BAKU,1074,1144,785,819,284,324,5,1
BASA,651,743,542,580,108,160,1,3
BENI,321,331,224,231,96,100,1,0
BHAKANJE,260,278,190,196,68,81,2,1
BUNG,1055,1100,646,608,405,489,4,3
CHAULAKHARKA,428,467,333,357,88,104,7,6
CHAURIKHARKA,723,781,424,433,293,338,6,10
CHHESKAM,864,936,604,619,246,297,14,20
DEUSA,891,942,673,698,213,237,5,7
GARMA,429,449,302,292,127,157,0,0
GOLI,460,511,347,370,112,138,1,3
GORAKHANI,290,293,212,194,78,98,0,1
GUDEL,966,1029,605,637,338,371,23,21
JUBING,724,772,514,509,208,259,2,4
JUBU,787,793,553,501,233,289,1,3
KAKU,796,858,620,597,173,258,3,3
KANGEL,379,455,313,340,65,113,1,2
KHUMJUNG,244,279,151,148,92,129,1,2
KERUNG,751,900,622,647,127,244,2,9
TAMAKHANI,207,264,146,162,59,99,2,3
LOKHIM,821,805,549,520,270,282,2,3
PAWAI,589,605,442,475,146,124,1,6
MUKALI,500,516,377,377,119,135,4,4
NAMCHE,214,237,116,104,98,133,0,0
NECHA BATASE,636,681,520,524,105,142,11,15
NECHA BEDGHARI,614,651,515,532,97,118,2,1
NELE,454,445,352,301,97,130,5,14
PANCHAN,293,347,231,266,57,72,5,9
SALLERI,1257,1393,971,984,285,405,1,4
SALYAN,1031,1088,767,776,255,300,9,12
SOTANG,1336,1317,1032,910,299,398,5,9
TAKASINDU,475,496,343,319,126,170,6,7
TAPTING,417,494,289,311,126,182,2,1
TINGLA,791,923,570,615,210,300,11,8
INSTITUTIONAL,247,79,166,66,80,13,1,0
