VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BAKU,914,0,11,36,0,0,2
BASA,659,3,1,5,4,0,4
BENI,361,0,28,2,1,1,2
BHAKANJE,257,1,12,11,2,2,0
BUNG,902,3,8,67,0,2,0
CHAULAKHARKA,421,0,2,4,1,0,2
CHAURIKHARKA,782,48,111,23,0,1,3
CHHESKAM,748,0,0,51,0,9,1
DEUSA,839,0,2,32,0,0,2
GARMA,466,4,2,0,0,0,0
GOLI,435,0,16,1,0,0,1
GORAKHANI,304,3,16,1,3,0,1
GUDEL,802,0,5,56,2,4,0
JUBING,721,3,35,9,0,0,1
JUBU,793,0,2,31,0,0,0
KAKU,804,0,11,8,0,2,4
KANGEL,433,1,0,2,0,0,3
KHUMJUNG,543,5,0,0,0,0,3
KERUNG,783,2,80,5,1,1,1
TAMAKHANI,208,0,31,0,0,0,1
LOKHIM,702,1,4,41,0,0,0
PAWAI,530,0,2,13,0,0,5
MUKALI,517,1,3,11,0,1,2
NAMCHE,392,74,9,2,0,2,1
NECHA BATASE,761,1,2,1,0,0,2
NECHA BEDGHARI,816,1,6,13,0,0,2
NELE,471,1,6,3,1,1,1
PANCHAN,322,0,3,8,0,0,0
SALLERI,1512,17,131,1,4,1,16
SALYAN,1114,0,8,5,0,4,6
SOTANG,1226,2,3,55,0,1,1
TAKASINDU,456,0,44,6,1,2,1
TAPTING,417,7,50,1,4,0,1
TINGLA,850,0,34,4,1,3,2
TOTAL,22261,178,678,508,25,37,71
