VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BAKU,306,241,64,283,68,1
BASA,659,14,0,2,0,1
BENI,262,70,0,61,0,2
BHAKANJE,236,34,0,15,0,0
BUNG,3,315,46,225,393,0
CHAULAKHARKA,330,95,0,3,1,1
CHAURIKHARKA,873,73,1,20,0,1
CHHESKAM,638,93,30,19,28,1
DEUSA,297,243,1,199,133,2
GARMA,416,53,0,2,1,0
GOLI,180,108,0,164,0,1
GORAKHANI,253,24,0,49,1,1
GUDEL,108,201,18,406,136,0
JUBING,730,25,1,7,6,0
JUBU,479,238,0,65,43,1
KAKU,526,173,0,89,39,2
KANGEL,390,44,0,2,2,1
KHUMJUNG,470,15,0,64,0,2
KERUNG,712,85,0,54,21,1
TAMAKHANI,230,10,0,0,0,0
LOKHIM,545,109,1,53,40,0
PAWAI,141,122,4,205,75,3
MUKALI,341,119,0,70,4,1
NAMCHE,423,30,1,24,2,0
NECHA BATASE,363,354,0,36,12,2
NECHA BEDGHARI,101,631,0,105,1,0
NELE,443,34,0,1,0,6
PANCHAN,76,156,0,36,65,0
SALLERI,1366,268,2,15,19,12
SALYAN,778,322,1,28,5,3
SOTANG,730,142,28,105,280,3
TAKASINDU,479,13,14,2,1,1
TAPTING,377,47,0,43,13,0
TINGLA,657,205,0,17,15,0
TOTAL,14918,4706,212,2469,1404,49
