VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BAMTI BHANDAR,583,677,448,514,115,140,20,23
BETALI,915,1037,699,693,180,299,36,45
BETHAN,832,949,694,761,134,182,4,6
GAGAL BHADAURE,477,540,349,368,128,172,0,0
BHATAULI,812,941,609,654,154,208,49,79
BHIRPANI,549,728,461,552,75,157,13,19
BHUJEE,528,577,393,417,129,155,6,5
BIJULIKOT,966,1224,722,830,223,352,21,42
CHANAKHU,457,600,348,451,99,134,10,15
CHISAPANI,588,693,508,488,73,195,7,10
CHUCHURE,475,564,364,384,110,177,1,3
DADHUWA,977,1166,619,655,230,315,128,196
DEURALI,624,765,522,617,89,137,13,11
DIMIPOKHARI,573,646,466,465,104,180,3,1
DORAMBA,618,689,427,438,156,221,35,30
DURAGAUN,694,688,498,461,158,176,38,51
FARPU,510,442,372,292,137,142,1,8
GELU,1050,1353,861,992,146,308,43,53
GOSWARA,767,1004,598,685,149,300,20,19
GOTHGAUN,414,596,330,422,72,150,12,24
GUMDEL,553,595,372,390,157,167,24,38
GUNSI BHADAURE,926,1083,764,817,148,227,14,39
GUPTESHWOR,399,449,320,322,78,125,1,2
HILEDEVI,601,656,471,487,128,167,2,2
HIMGANGA,868,1066,736,805,111,233,21,28
KATHJOR,920,1141,727,814,170,290,23,37
KHANDADEVI,779,885,596,638,167,222,16,25
KHANIYAPANI,845,1004,572,643,210,263,63,98
KHIMTI,906,975,746,746,146,214,14,15
KUBUKASTHALI,523,606,428,460,91,137,4,9
LAKHANPUR,1321,1517,1058,1111,222,365,41,41
MAJUWA,427,502,316,328,80,141,31,33
MAKADUM,328,443,286,348,40,81,2,14
BHALUWAJOR,740,836,509,557,227,273,4,6
MANTHALI,1411,1361,1076,978,284,324,51,59
NAGDAHA,755,939,595,676,156,245,4,18
NAMADI,827,913,697,663,121,240,9,10
OKHRENI,642,763,496,508,137,241,9,14
PAKARBAS,1411,1422,1081,1060,239,277,91,85
PHULASI,1189,1321,987,1020,184,289,18,12
PINKHURI,386,489,331,387,47,93,8,9
PRITEE,1067,1264,837,920,181,278,49,66
PURANAGAUN,636,781,502,548,122,211,12,22
RAKATHUM,703,918,519,598,166,293,18,27
RAMECHHAP,982,1129,755,793,217,327,10,9
RAMPUR,825,1001,695,752,120,225,10,24
RASANALU,900,1062,726,780,145,223,29,59
SAIPU,558,625,493,523,59,89,6,13
SALU,668,795,556,620,109,172,3,3
SANGHUTAR,396,541,335,405,54,121,7,15
SUKAJOR,669,771,563,572,101,173,5,26
SUNARPANI,409,449,303,321,92,105,14,23
THOSE,452,572,354,400,83,138,15,34
TILPUNG,794,998,641,778,145,210,8,10
TOKARPUR,751,845,618,576,122,251,11,18
INSTITUTIONAL,244,8,23,0,220,8,1,0
