VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BAMTI BHANDAR,722,1,0,0,2,5,1,8
BETALI,800,1,2,9,126,4,1,9
BETHAN,1074,0,0,6,6,0,1,3
GAGAL BHADAURE,479,1,5,26,0,1,0,62
BHATAULI,279,0,12,344,1,168,0,16
BHIRPANI,493,0,64,63,24,116,0,4
BHUJEE,498,0,0,11,8,20,0,1
BIJULIKOT,815,0,40,192,25,1,1,13
CHANAKHU,383,0,28,31,1,30,0,3
CHISAPANI,188,0,257,93,71,67,0,10
CHUCHURE,419,1,2,2,102,54,0,5
DADHUWA,886,1,0,84,13,14,0,18
DEURALI,541,1,14,116,22,6,0,2
DIMIPOKHARI,697,0,0,19,0,4,0,6
DORAMBA,737,3,4,23,11,2,0,14
DURAGAUN,631,0,0,1,0,1,0,19
FARPU,374,0,0,41,17,16,0,2
GELU,939,1,100,162,31,17,0,17
GOSWARA,607,0,0,132,29,0,0,2
GOTHGAUN,299,0,46,90,107,6,17,1
GUMDEL,439,0,0,5,27,25,0,1
GUNSI BHADAURE,917,0,0,27,99,0,1,12
GUPTESHWOR,298,0,0,24,17,22,0,0
HILEDEVI,667,2,0,30,4,2,0,2
HIMGANGA,804,0,2,3,20,8,9,3
KATHJOR,859,0,23,1,34,0,0,17
KHANDADEVI,611,0,6,52,147,15,0,7
KHANIYAPANI,775,1,1,4,1,6,1,5
KHIMTI,874,1,5,48,18,14,0,8
KUBUKASTHALI,572,0,2,3,19,1,1,8
LAKHANPUR,1118,1,25,50,115,5,2,7
MAJUWA,391,0,0,26,16,6,0,14
MAKADUM,211,0,2,108,101,0,0,0
BHALUWAJOR,348,2,27,162,92,75,2,7
MANTHALI,1830,3,22,62,2,85,2,12
NAGDAHA,641,0,18,79,28,4,0,7
NAMADI,688,2,16,15,81,16,2,7
OKHRENI,520,1,14,81,107,15,0,4
PAKARBAS,336,1,68,189,444,129,0,10
PHULASI,927,1,52,183,115,0,0,6
PINKHURI,364,0,14,48,0,1,0,1
PRITEE,1026,1,1,5,83,6,0,6
PURANAGAUN,399,0,0,155,75,2,1,3
RAKATHUM,599,1,17,15,1,75,0,8
RAMECHHAP,873,0,18,81,83,95,0,3
RAMPUR,621,1,13,184,0,39,0,0
RASANALU,898,0,0,39,72,1,1,15
SAIPU,554,2,0,21,36,3,0,0
SALU,549,1,7,59,142,3,0,3
SANGHUTAR,390,1,41,62,0,2,0,4
SUKAJOR,530,1,85,56,56,24,0,4
SUNARPANI,468,0,0,23,6,2,0,1
THOSE,563,0,10,5,11,17,0,0
TILPUNG,715,0,2,23,79,3,0,6
TOKARPUR,666,0,5,56,19,9,0,12
TOTAL,34902,33,1070,3429,2746,1242,43,418
