VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BADALPUR,801,124,292,0
BAGANAHA,1024,750,704,4
BANIYABHAR,2206,594,758,3
BELAWA,2561,242,430,2
BHIMAPUR,1125,134,474,4
DAULATPUR,1014,184,217,1
DEUDAKALA,1949,588,1238,22
DHADHAWAR,2397,663,1300,9
DHODHARI,963,326,596,13
GOLA,826,168,171,1
GULARIYA MUNICIPALITY,5766,2625,2816,13
JAMUNI,1075,723,795,8
KALIKA,1289,711,1125,6
KHAIRI CHANDANPUR,831,155,196,5
MAGARAGADI,1038,1494,1314,23
MAHAMADPUR,1361,136,343,4
MANAU,632,163,372,1
MANPUR MAINAPOKHAR,1133,322,312,0
MANPUR TAPARA,1016,227,426,1
MOTIPUR,2252,856,1059,11
NAYA GAUN,758,129,144,1
NEULAPUR,1247,857,846,20
PADANAHA,599,220,649,1
PASUPATINAGAR,838,187,208,3
PATABHAR,1458,382,724,1
RAJAPUR,1519,487,647,4
SANOSHREE,592,1212,2319,6
SIVAPUR,703,234,524,1
SORHAWA,1850,271,711,2
SURYAPATAWA,685,393,679,4
TARATAL,327,437,1015,2
THAKUDWARA,848,465,425,0
TOTAL,42683,16459,23829,176
