VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BADALPUR,1003,0,9,86,117,0,2,0
BAGANAHA,2250,1,27,0,200,0,0,4
BANIYABHAR,3314,7,15,6,216,0,0,3
BELAWA,3135,11,26,4,53,0,4,2
BHIMAPUR,1662,5,5,0,59,1,1,4
DAULATPUR,1312,11,13,3,76,0,0,1
DEUDAKALA,3462,11,76,3,223,0,0,22
DHADHAWAR,3950,22,89,16,280,0,2,10
DHODHARI,1712,6,26,2,138,0,0,14
GOLA,1023,2,3,1,135,1,0,1
GULARIYA MUNICIPALITY,9166,111,1435,100,360,10,25,13
JAMUNI,2306,10,102,6,168,0,1,8
KALIKA,2450,25,238,16,387,0,9,6
KHAIRI CHANDANPUR,1026,4,7,15,130,0,0,5
MAGARAGADI,3565,13,62,3,193,1,9,23
MAHAMADPUR,1458,14,20,325,18,0,5,4
MANAU,1034,0,16,7,110,0,0,1
MANPUR MAINAPOKHAR,1304,12,127,85,237,0,2,0
MANPUR TAPARA,1521,4,21,2,121,0,0,1
MOTIPUR,3437,10,322,11,380,0,7,11
NAYA GAUN,939,8,6,5,73,0,0,1
NEULAPUR,2478,14,222,12,213,1,9,21
PADANAHA,1356,0,10,2,99,0,1,1
PASUPATINAGAR,1045,5,4,11,168,0,0,3
PATABHAR,2302,13,16,12,220,1,0,1
RAJAPUR,2332,17,200,3,98,0,3,4
SANOSHREE,3530,7,383,4,193,2,4,6
SIVAPUR,1344,7,20,1,89,0,0,1
SORHAWA,2570,6,80,89,82,1,3,3
SURYAPATAWA,1604,3,4,11,134,0,1,4
TARATAL,1619,6,37,0,117,0,0,2
THAKUDWARA,1664,5,31,0,38,0,0,0
TOTAL,72873,370,3652,841,5125,18,88,180
