VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AATHBISDANDAGAUN,1843,1993,1320,1220,488,708,35,65
AATHBISKOT,2005,2151,1557,1441,423,693,25,17
ARMA,985,1020,807,767,166,244,12,9
BANFIKOT,1076,1289,916,992,140,260,20,37
BHALAKCHA,793,950,689,760,101,186,3,4
BIJAYASWORI,1954,2155,1494,1501,376,586,84,68
CHHIWANG,1238,1424,1059,1136,171,281,8,7
CHAUKHAWANG,687,852,558,602,124,245,5,5
CHUNWANG,666,806,549,577,115,221,2,8
DULI,1077,1233,847,848,226,381,4,4
GARAYALA,1328,1581,1012,1125,273,382,43,74
GOTAMKOT,1664,1641,1086,850,499,688,79,103
GHETMA,1124,1237,917,915,187,284,20,38
HUKAM,473,512,271,246,193,253,9,13
JANG,762,799,371,335,368,442,23,22
JHULA,717,889,564,626,120,213,33,50
KANDA,525,631,373,364,146,258,6,9
KANKRI,991,1163,666,661,298,455,27,47
KHARA,1296,1668,1135,1354,151,304,10,10
KHOLAGAUN,1428,1541,1181,1137,206,300,41,104
KOL,594,725,426,416,168,308,0,1
KOTJAHARI,1127,1377,903,970,207,366,17,41
MAGMA,1294,1530,1080,1115,211,411,3,4
MAHAT,971,1186,706,706,261,472,4,8
MORAWANG,523,619,405,409,107,189,11,21
MURU,772,975,672,792,100,183,0,0
KHALANGA,2565,2701,2232,2197,322,492,11,12
NUWAKOT,1277,1500,1037,1112,178,316,62,72
PIPAL,944,1134,722,803,191,274,31,57
POKHARA,955,1099,719,792,173,221,63,86
PURTIMKANDA,1157,1383,890,965,233,351,34,67
PWANG,373,425,323,325,46,96,4,4
PEUGHA,979,1235,794,949,175,270,10,16
RANGSI,470,503,368,305,100,197,2,1
RANMAMAIKOT,839,923,406,445,355,385,78,93
RUGHA,928,1122,779,854,147,262,2,6
SANKHA,1062,1333,888,988,168,340,6,5
SIMLI,1183,1430,985,1121,167,271,31,38
SISNE,488,491,302,272,179,214,7,5
RUKUMKOT,1193,1301,907,912,235,303,51,86
SYALAKHADI,1065,1247,743,768,314,475,8,4
SYALAPAKHA,1150,1341,920,1002,225,334,5,5
TAKSERA,715,875,453,514,155,199,107,162
INSTITUTIONAL,271,51,174,50,96,1,1,0
