VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AATHBISDANDAGAUN,37,41,8,370,981,3
AATHBISKOT,107,9,1,374,1198,10
ARMA,2,80,2,326,307,3
BANFIKOT,788,18,1,92,168,8
BHALAKCHA,65,41,0,479,162,1
BIJAYASWORI,46,145,6,1218,499,8
CHHIWANG,124,56,1,516,439,2
CHAUKHAWANG,10,117,1,441,64,0
CHUNWANG,214,5,1,271,118,0
DULI,12,4,0,378,452,5
GARAYALA,29,71,3,489,524,0
GOTAMKOT,3,242,5,437,664,10
GHETMA,3,12,0,406,436,5
HUKAM,1,26,0,305,140,3
JANG,8,65,22,448,33,2
JHULA,1,103,0,427,154,1
KANDA,120,19,3,217,181,3
KANKRI,164,172,0,247,421,4
KHARA,3,2,2,810,296,0
KHOLAGAUN,2,7,0,713,457,7
KOL,191,12,18,387,97,2
KOTJAHARI,27,4,2,665,358,2
MAGMA,8,140,5,635,303,3
MAHAT,50,28,3,504,350,2
MORAWANG,145,1,16,136,210,4
MURU,37,28,1,545,177,0
KHALANGA,2392,125,6,494,262,0
NUWAKOT,5,164,1,664,220,5
PIPAL,222,1,0,253,369,1
POKHARA,249,44,0,404,218,1
PURTIMKANDA,4,13,1,619,292,3
PWANG,30,0,0,223,106,0
PEUGHA,3,69,0,457,289,1
RANGSI,0,10,0,173,242,0
RANMAMAIKOT,179,0,0,326,268,1
RUGHA,43,57,1,556,144,4
SANKHA,139,17,0,658,276,2
SIMLI,46,6,0,691,296,5
SISNE,1,88,1,266,16,0
RUKUMKOT,593,104,1,327,316,1
SYALAKHADI,10,0,2,245,592,3
SYALAPAKHA,8,197,4,684,266,1
TAKSERA,60,6,0,415,421,0
TOTAL,6181,2349,118,19291,13782,116
