VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
PANCHESWOR,3383,1579,1804,1986,1199,787,37,19,18,1360,361,999,0,0,0,58.70529116169081,75.9341355288157,43.62527716186253
PATAN,4689,2117,2572,3491,1901,1590,116,33,83,1081,183,898,1,0,1,74.45084239709959,89.79688238072745,61.81959564541213
RAUDIDEWAL,3151,1312,1839,1944,1072,872,95,33,62,1108,207,901,4,0,4,61.694700095207864,81.70731707317073,47.417074497009246
RAULESWOR,3500,1519,1981,2093,1214,879,59,17,42,1347,287,1060,1,1,0,59.8,79.92100065832784,44.37152953054013
RUDRESWOR,3215,1496,1719,2300,1256,1044,30,11,19,866,225,641,19,4,15,71.53965785381027,83.9572192513369,60.73298429319372
SAKAR,2854,1277,1577,2058,1122,936,67,20,47,729,135,594,0,0,0,72.10932025227751,87.86217697729053,59.353202282815474
SALENA,3204,1486,1718,2285,1286,999,72,31,41,847,169,678,0,0,0,71.31710362047441,86.54104979811575,58.14901047729919
SARMALI,6528,3078,3450,3737,2370,1367,164,77,87,2626,631,1995,1,0,1,57.24571078431373,76.99805068226121,39.6231884057971
SHANKARPUR,2016,926,1090,1327,776,551,116,45,71,572,105,467,1,0,1,65.8234126984127,83.8012958963283,50.55045871559633
SHIBANATH,4805,2201,2604,2797,1686,1111,118,53,65,1890,462,1428,0,0,0,58.210197710718006,76.60154475238528,42.665130568356375
SHIKHARPUR,4905,2219,2686,3004,1768,1236,99,39,60,1770,398,1372,32,14,18,61.24362895005097,79.67552951780081,46.01638123603872
SHIVALING,3537,1739,1798,1951,1221,730,138,75,63,1447,442,1005,1,1,0,55.15973989256432,70.2127659574468,40.60066740823137
SIDDHAPUR,2197,1019,1178,1663,912,751,58,17,41,475,90,385,1,0,1,75.69412835685026,89.49950932286555,63.75212224108658
SIDDHESWOR,4316,2080,2236,3078,1807,1271,109,60,49,1128,213,915,1,0,1,71.31603336422614,86.875,56.84257602862254
SIGASH,3457,1659,1798,1736,1081,655,143,76,67,1577,502,1075,1,0,1,50.216951113682384,65.15973477998794,36.4293659621802
SILANGA,2298,1012,1286,1617,877,740,92,36,56,589,99,490,0,0,0,70.36553524804178,86.6600790513834,57.54276827371695
SREE KEDAR,1751,759,992,1326,683,643,14,2,12,409,73,336,2,1,1,75.72815533980582,89.98682476943345,64.81854838709677
SREEKOT,3050,1358,1692,2002,1107,895,41,23,18,1006,227,779,1,1,0,65.63934426229508,81.51693667157585,52.895981087470446
TALLADEHI,2545,1186,1359,1311,790,521,120,60,60,1113,336,777,1,0,1,51.512770137524555,66.61045531197301,38.33701250919794
THALAKANDA,2435,1135,1300,1325,842,483,73,33,40,1037,260,777,0,0,0,54.41478439425052,74.18502202643171,37.15384615384615
UDAYADEB,4063,1851,2212,2197,1303,894,61,31,30,1802,516,1286,3,1,2,54.07334481909919,70.39438141545111,40.415913200723324
INSTITUTIONAL,668,642,26,655,631,24,3,3,0,10,8,2,0,0,0,98.05389221556887,98.28660436137072,92.3076923076923
