VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AMCHAUR,884,5,0,2
BASANTAPUR,509,3,0,0
BASULING,545,2,1,7
BHATANA,653,3,0,8
BHUMESWOR,640,4,0,0
BIJAYAPUR,620,5,1,17
BISALPUR,697,0,0,2
BUMIRAJ,722,1,0,42
CHAUKHAM,490,5,0,8
DASHARATHCHANDA MUNICIPALITY,3337,320,54,77
DEHIMANDAU,834,23,0,4
DEULEK,468,8,0,0
DHIKARIM/RIM,693,7,0,11
DHIKASINTAD/SITAD,729,8,0,12
DHUNGAD,432,4,0,10
DILASAINI,1041,12,0,1
DURGA BHABANI,460,1,3,6
DURGASTHAN,716,8,0,2
GAJARI,694,0,0,0
GIREGADA,571,0,2,1
GOKULESWOR,758,8,0,5
GUJAR,557,7,0,1
GURUKHOLA,811,13,4,6
GWALLEK,761,1,0,2
HAT,319,3,1,7
HATAIRAJ,196,1,0,0
KAILPAL,532,2,0,7
KATAUJPANI,803,7,2,9
KOTILA,599,4,0,6
KOTPETARA,1020,13,1,18
KULAU,484,2,0,1
KUWAKOT,824,2,0,5
MAHADEVSTHAN,545,2,0,49
MAHAKALI,556,0,0,1
MAHARUDRA,711,0,1,0
MALLADEHI,664,3,0,26
MATHAIRAJ,505,19,1,12
MAUNALI,542,1,0,1
MELAULI,826,1,0,4
NAGARJUN,406,2,0,4
NWADEU,646,12,0,43
NWALI,541,4,1,4
PANCHESWOR,630,3,0,1
PATAN,1046,38,37,13
RAUDIDEWAL,722,4,0,8
RAULESWOR,788,3,0,2
RUDRESWOR,681,10,1,4
SAKAR,582,7,0,0
SALENA,609,1,0,0
SARMALI,1232,6,1,3
SHANKARPUR,444,1,1,8
SHIBANATH,899,0,1,0
SHIKHARPUR,945,7,0,9
SHIVALING,668,7,0,0
SIDDHAPUR,407,3,0,1
SIDDHESWOR,873,19,0,5
SIGASH,719,4,0,1
SILANGA,472,0,0,2
SREE KEDAR,395,3,0,7
SREEKOT,620,8,1,12
TALLADEHI,553,1,0,4
THALAKANDA,489,10,0,9
UDAYADEB,766,1,0,0
TOTAL,43881,662,114,510
