VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARCHALE,440,12,0,1
ARGALI,704,102,0,13
BAHADURPUR,285,13,1,1
BALDENGADHI,423,1,0,1
BANDIPOKHARA,609,10,0,3
BARANGDI,551,9,0,6
BHAIRABSTHAN,539,23,1,9
BHUWANPOKHARI,1224,10,0,2
BIRKOT,738,10,0,14
BODHAPOKHARATHOK,640,11,1,12
BOUDHAGUMBA,499,15,2,15
CHAPPANI,498,6,1,12
CHHAHARA,1106,55,4,15
CHIDIPANI,968,14,3,17
CHIRTUNGDHARA,963,18,0,19
DARCHHA,1569,168,5,14
DARLAMDANDA,468,39,0,12
DEURALI,609,14,0,6
DEVINAGAR,599,25,0,4
DOBHAN,1359,59,4,14
FEK,686,2,0,0
FOKSINGKOT,769,13,0,6
GADAKOT,1122,31,0,24
GALDHA,712,36,2,1
GEJHA,1099,41,1,6
GOTHADI,751,12,0,6
HAKLANG,641,21,0,3
HUMIN,538,10,0,2
HUNGI,1043,26,1,11
JALPA,586,25,2,5
JHADEWA,890,40,3,31
JHIRUBAS,439,4,0,0
JUTHAPAUWA,696,13,2,1
JYAMIRE,562,11,0,3
KACHAL,766,19,0,2
KASENI,1083,75,5,18
KHALIBAN,1277,37,1,4
KHANICHHAP,473,12,0,1
KHANIGAU,444,9,0,14
KHASYOLI,512,52,0,2
KHYAHA,527,18,0,1
KOLDADA,654,5,1,1
KUSUMKHOLA,371,39,1,2
MADANPOKHARA,1319,206,5,11
MASYAM,967,30,0,7
MITYAL,716,42,0,0
MUJHUNG,514,12,1,5
NAYARNAMTALES,485,44,2,3
PALUNG MAINADI,608,38,1,8
PIPALDADA,1142,31,0,20
POKHARATHOK,551,25,1,9
RAHABAS,367,17,2,0
RAMPUR,2203,448,10,72
RINGNERAHA,502,39,0,2
RUPSE,418,24,0,22
SAHALKOT,328,3,0,0
SATYAWATI,622,6,1,0
SIDDHESHWOR,649,7,0,4
SILUWA,1006,17,2,10
SOMADI,617,13,0,5
TAHU,750,81,7,10
TANSEN MUNICIPALITY,3771,4214,323,103
TELGHA,732,14,0,6
TIMURE,569,9,0,0
WAKAMALANG,572,6,1,0
YAMGHA,864,19,3,15
TOTAL,51704,6510,400,646
